About,Informazioni
No ID For Auction,Nessun ID per asta online
N/A,N/A
Buyer,Acquirente
Seller,Venditore
Send Response,Invia risposta
eBay Feedbacks,Feedback eBay
Accounts,Account
Add%s Listing [Settings],Aggiungi%s inserzione [Settings]
Next,Successivo
Add%s Listing [Select Categories Products],Aggiungi%s inserzione [Select Categories Products]
Save And View Listing,Salva e vedi l'inserzione
Add%s Listing [Select Categories],Aggiungi%s inserzione [Select Categories]
Add%s Listing [Select Products],Aggiungi%s inserzione [Select Products]
Add New,Aggiungi nuovo
"Edit ""%s""%s Listing [Settings]","Modifica ""%s""%s inserzione [Settings]"
Title,Titolo
Total Items,Totale oggetti
Listed Items,Oggetti messi in vendita
Sold Items,Oggetti venduti
Inactive Items,Oggetti inattivi
Actions,Azioni
View Products,Vedi prodotti
Add Products From Products List,Aggiungi prodotti da elenco dei prodotti
Add Products From Categories,Aggiungi prodotti da categorie
Edit Settings,Modifica impostazioni
Delete Listing,Elimina inserzione
Are you sure?,Sei sicuro di voler continuare?
View Log,Vedi registro
Clear Log,Cancella registro
Edit Selling Format Template,Modifica modello del formato di vendita
Edit Description Template,Modifica modello descrizione
Edit General Template,Modifica modello generale
Edit Synchronization Template,Modifica modello di sincronizzazione
Clear Log(s),Cancella registro/i
Delete Listing(s),Elimina inserzione/i
Product ID,ID prodotto
Product Title / SKU,Titolo/codice prodotto
eBay Item ID,ID oggetto eBay
eBay Available QTY,Q.ta disponibile su eBay
eBay Sold QTY,Q.ta vendute su eBay
eBay Price,Prezzo eBay
Status,Stato
Listed,In vendita
Sold,Venduti
Stopped,Bloccati
Finished,Fine
Start Date,Data inizio
End Date,Data di scadenza
Unmap,Annulla associazione
Revise Item(s),Modifica oggetto/i
Relist Item(s),Rimetti in vendita oggetto/i
Stop Item(s),Blocca oggetto/i
Map Item(s) Automatically,Associa oggetto/i automaticamente
Move Item(s) to Listing,Sposta oggetto/i su inserzione
Map,Mappa
Move,Sposta
SKU,Codice prodotto
Last action was completed successfully.,L'ultima azione è stata completata correttamente.
Last action was completed with error(s).,L'ultima azione è stata completata con errore/i.
Last action was completed with warning(s).,L'ultima azione è stata completata con avviso/i.
Revise,Modifica
Relist,Rimetti in vendita
Stop,Stop
Status Change,Modifica dello stato
Manual,Manuale
Automatic,Automatica
Source,Fonte
Revise Rules,Modifica regole
Relist Rules,Regole per la rimessa in vendita
Stop Rules,Blocca regole
Edit%s 3rd Party Synchronization Settings,Modifica%s impostazioni sincronizzazione di terze parti
Save And Complete This Step,Salva e completa questo passaggio
"Add Products To%s Listing ""%s"" From Categories","Aggiungi prodotti a%s inserzione ""%s"" da Categorie"
View Listing,Vedi inserzione
Save And List,Salva e metti in vendita
Product Title,Titolo prodotto
Stock Availability,Disponibilità in magazzino
In Stock,In magazzino
Out of Stock,Esaurito
Price,Prezzo
Qty,Q.ta
Visibility,Visibilità
Websites,Siti Web
Please select items.,Seleziona gli oggetti.
Are you sure create empty listing?,Sei sicuro di voler creare un'inserzione vuota?
"Add Products To%s Listing ""%s"" ","Aggiungi prodotti a%s inserzione ""%s"" "
Product Title / Listing / SKU,Titolo/inserzione/codice prodotto
"""Buy It Now"" Price",Prezzo Compralo Subito
Unknown,Sconosciuto
Not Listed,Non messo in vendita
Manage,Gestisci
Listing,Inserzione
Go to listing,Vai all'inserzione
Search%s Listings Items,Cerca%s oggetti inserzioni
Listings,Inserzioni
Templates,Modelli
Selling Format Templates,Modelli del formato di vendita
Description Templates,Modelli descrizione
General Templates,Modelli generali
Synchronization Templates,Modelli di sincronizzazione
Parts Compatibility Attribute,Attributo compatibilità dei ricambi
Filled,Compilato
Empty,Vuoto
"""Start"" Price",Prezzo di partenza
"""Reserve"" Price",Prezzo di riserva
eBay End Date,Data di fine su eBay
List Item(s),Metti in vendita oggetto/i
Stop on Channel / Remove From Listing,Blocca sul canale/Rimuovi dall'inserzione
Move Item(s) to Another Listing,Sposta oggetto/i su un'altra inserzione
Add Compatible Vehicles,Aggiungi veicoli compatibili
List,Elenco
Stop on Channel / Remove from Listing,Blocca sul canale/Rimuovi dall'inserzione
View%s Listing,Vedi%s inserzione
Edit Templates,Modifica modelli
Add Products,Aggiungi prodotti
List All Items,Metti in vendita tutti gli oggetti
Task completed. Please wait ...,Attività completata. Attendi...
"""%s"" task has successfully completed.","Attività ""%s"" completata correttamente."
"""%s"" task has completed with warnings. <a href=""%s"">View log</a> for details.","Attività ""%s"" completata con avvisi. <a href=""%s"">Vedi registro</a> per i dettagli."
"""%s"" task has completed with errors. <a href=""%s"">View log</a> for details.","Attività ""%s"" completata con errori. <a href=""%s"">Vedi registro</a> per i dettagli."
Sending %s product(s) data on eBay.,Invio dati di %s su eBay in corso.
View All Product Log.,Vedi il registro di tutti i prodotti.
The listing was locked by another process. Please try again later.,L'inserzione è stata bloccata da un altro processo. Riprova più tardi.
Listing is empty.,Inserzione vuota.
Listing All Items On eBay,Messa in vendita di tutti gli oggetti su eBay in corso
Listing Selected Items On eBay,Messa in vendita degli oggetti selezionati su eBay in corso
Revising Selected Items On eBay,Revisione degli oggetti selezionati su eBay in corso
Relisting Selected Items On eBay,Rimessa in vendita degli oggetti selezionati su eBay in corso
Stopping Selected Items On eBay,Blocco degli oggetti selezionati su eBay in corso
Stopping On eBay And Removing From Listing Selected Items,Blocco su eBay e rimozione dalla messa in vendita degli oggetti selezionati in corso
Please select action.,Seleziona l'azione.
Success,Riuscito
Notice,Avviso
Warning,Attenzione
Error,Errore
Close,Chiudi
Product(s) was successfully moved.,Prodotto/i spostato/i correttamente.
"Product(s) was not moved. <a href=""%s"">View log</a> for details.","Prodotto/i non spostato/i. <a href=""%s"">Vedi registro</a> per i dettagli."
"Some product(s) was not moved. <a href=""%s"">View log</a> for details.","Alcuni prodotti non sono stati spostati. <a href=""%s"">Vedi registro</a> per i dettagli."
Moving eBay Items.,Spostamento oggetti eBay in corso.
Products failed to move,Impossibile spostare i prodotti
Selling Format Template,Modello del formato di vendita
Description Template,Modello descrizione
General Template,Modello generale
Synchronization Template,Modello di sincronizzazione
From Products List,Da elenco di prodotti
From Categories,Da categorie
Search Items,Cerca oggetti
Add Listing,Aggiungi inserzione
Selling Format,Formato di vendita
Description,Descrizione
Synchronization,Sincronizzazione
Update Now,Aggiorna ora
My Messages,I miei messaggi
Sender,Mittente
Message,Messaggio
Sender Message Date,Data messaggio mittente
My Responses,Le mie risposte
Unanswered Messages,Messaggi senza risposta
Answered Messages,Messaggi con risposta
Read More,Ulteriori informazioni
Response,Risposta
ePID,ePID
Car / Truck,Auto / Autocarro
Motorcycle,Moto
Make,Marca
Model,Modello
Submodel,Modello secondario
Year,Anno
Trim,Ritaglia
Engine,Motore
Change Compatibility Attribute,Modifica attributo compatibilità
Overwrite ePIDs in Compatibility Attribute,Sovrascrivi ePID in attributo compatibilità
Add ePIDs to Compatibility Attribute,Aggiungi ePID ad attributo compatibilità
Show ePIDs,Mostra ePID
Edit Shipping Address,Modifica l'indirizzo per la spedizione
Save Order Address,Salva l'indirizzo dell'ordine
Sale Date,Data vendita
Magento Order #,Numero ordine Magento
eBay Order #,N. ordine eBay
Items,Oggetti
Total Paid,Totale pagato
Checkout,Modulo di pagamento
No,No
Yes,Sì
Paid,Pagato
Shipped,Spedito
Action,Azione
View,Vista
Create Order,Crea ordine
Mark As Paid,Segnala come pagato
Mark As Shipped,Segnala come spedito
Mark Order(s) as Shipped,Segnala ordini come spediti
Mark Order(s) as Paid,Segnala ordini come pagati
Deleted,Eliminata
Last order action was completed successfully.,L'ultima azione dell'ordine è stata completata correttamente.
Last order action was completed with error(s).,L'ultima azione dell'ordine è stata completata con errore/i.
Last order action was completed with warning(s).,L'ultima azione dell'ordine è stata completata con avviso/i.
Options,Opzioni
QTY,Q.TA
Transaction,Transazione
Item,Oggetto
Transaction #,Numero transazione
Fee,Tariffa
Amount,Importo
Date,Data
Incl. Tax,Incl. Imposte
Excl. Tax,Escl. Imposte
Product,Prodotto
Original Price,Prezzo originale
Tax Percent,Percentuale imposte
Row Total,Totale
View on eBay,Vedi su eBay
Create Date,Data creazione
View Order Details,Vedi i dettagli dell'ordine
Mark as Shipped,Segnala come spedito
Mark as Paid,Segnala come pagato
Are you sure that you want to create new Magento Order?,Vuoi creare un nuovo ordine Magento?
Run Now,Esegui ora
Insert,Inserisci
Select All,Seleziona tutti
Confirm,Conferma
Show / Hide Editor,Mostra/nascondi editor
Edit%s Description Template,Modifica%s modello descrizione
Add%s Description Template,Aggiungi%s modello descrizione
Duplicate,Duplica
Preview,Anteprima
View Random Product,Vedi prodotto casuale
Change Category,Modifica la categoria
Reset Category,Reimposta categoria
Refresh Store Categories,Aggiorna categorie negozio
Add Method,Aggiungi metodo
Remove,Rimuovi
Refresh Profiles,Aggiorna profili
Add Custom Specific,Aggiungi specifico personalizzato
Item Specifics,Specifiche dell'oggetto
Listing Upgrades,Opzioni di vendita
Shipping,Spedizione
Payment,Pagamento
Return Policy,Regole sulla restituzione
Edit%s General Template,Modifica%s modello generale
Add%s General Template,Aggiungi%s modello generale
Edit%s Selling Format Template,Modifica%s modello formato di vendita
Add%s Selling Format Template,Aggiungi%s modello formato di vendita
Edit%s Synchronization Template,Modifica%s modello sincronizzazione
Add%s Synchronization Template,Aggiungi%s modello sincronizzazione
Proceed,Procedi
Skip,Salta
Complete Configuration,Completa la configurazione
Start Configuration,Avvia la configurazione
Re-import,Reimporta
"No, thanks","No, grazie"
eBay DateTime object is null,Oggetto DateTime eBay nullo
"Listing ""%listingId%"" locked by other process.","Inserzione ""%listingId%"" bloccata da un altro processo."
Relisting,Rimessa in vendita
Revising,Revisione
Stopping,Blocco
Item is listed or not available,Oggetto in vendita o non disponibile
Item was successfully listed,Oggetto messo in vendita correttamente
Multiple Item Connector has received empty array,Il connettore di più oggetti ha ricevuto una matrice vuota
Multiple Item Connector has received invalid product data type,Il connettore di più oggetti ha ricevuto un tipo di dati di prodotto non valido
Multiple Item Connector has received products from different listings,Il connettore di più oggetti ha ricevuto prodotti da inserzioni diverse
"The item either is listed, or not listed yet or not available","L'oggetto è messo in vendita, non ancora messo in vendita o non disponibile"
Item already was started on eBay,Oggetto già iniziato su eBay
Item was successfully relisted,Oggetto rimesso in vendita correttamente
Item is not listed or not available,Oggetto non in vendita o non disponibile
Variation attributes were changed. Please stop and list product.,Gli attributi variante sono stati modificati. Blocca e metti in vendita il prodotto.
Item was already stopped on eBay,Oggetto già bloccato su eBay
Item was successfully revised,Oggetto revisionato correttamente
variations,varianti
qty,q.ta
price,prezzo
title,titolo
subtitle,sottotitolo
description,descrizione
was successfully revised,revisionato correttamente
Item was successfully stopped,Oggetto bloccato correttamente
eBay Order status was not updated. Reason: %msg%,Stato dell'ordine eBay non aggiornato. Motivo: %msg%
Status of India site orders cannot be updated if the buyer uses PaisaPay payment method.,Impossibile aggiornare lo stato degli ordini del sito India se l'acquirente usa PaisaPay come metodo di pagamento.
Invalid action.,Azione non valida.
Payment status for eBay order was not updated. Reason: eBay Failure.,Stato del pagamento per l'ordine eBay non aggiornato. Motivo: errore eBay.
Payment status for eBay order was updated to Paid.,Stato del pagamento per l'ordine eBay aggiornato in Pagato.
Shipping status for eBay order was not updated. Reason: eBay Failure.,Stato della spedizione per l'ordine eBay non aggiornato. Motivo: errore eBay.
"Tracking number ""%num%"" for ""%code%"" has been sent to eBay.","Numero di tracciamento ""%num%"" per ""%code%"" inviato a eBay."
Shipping status for eBay order was updated to Shipped.,Stato della spedizione per l'ordine eBay aggiornato in Spedito.
Dispute cannot be opened. Reason: Dispute explanation is not defined.,Impossibile aprire la controversia. Motivo: spiegazione della disputa non definita.
Dispute cannot be opened. Reason: Dispute reason is not defined.,Impossibile aprire la controversia. Motivo: motivo della disputa non definito.
Unpaid Item Process was not open for item #%id%. Reason: %msg%,Procedura per il mancato pagamento di un oggetto non aperta per l'oggetto #%id%. Motivo: %msg%
Unpaid Item Process was not open for item #%id%. Reason: eBay failure. Please try again later.,Procedura per il mancato pagamento di un oggetto non aperta per l'oggetto #%id%. Motivo: errore eBay. Riprova più tardi.
Unpaid Item Process for item #%id% has been initiated.,Procedura per il mancato pagamento per l'oggetto #%id% avviata.
"Action was not completed (Item: %item_id%, Transaction: %trn_id%). Reason: %msg%","Azione non completata (oggetto: %item_id%, transazione: %trn_id%). Motivo: %msg%"
"Shipping status was not updated (Item: %item_id%, Transaction: %trn_id%). Reason: %msg%","Stato della spedizione non aggiornato (oggetto: %item_id%, transazione: %trn_id%). Motivo: %msg%"
"Shipping status was not updated (Item: %item_id%, Transaction: %trn_id%). Reason: eBay Failure.","Stato della spedizione non aggiornato (oggetto: %item_id%, transazione: %trn_id%). Motivo: errore eBay."
"Tracking number ""%num%"" for ""%code%"" has been sent to eBay (Item: %item_id%, Transaction: %trn_id%).","Numero di tracciamento ""%num%"" per ""%code%"" inviato a eBay (oggetto: %item_id%, transazione: %trn_id%)."
"Order item has been marked as shipped (Item: %item_id%, Transaction: %trn_id%).","L'oggetto dell'ordine è stato contrassegnato come spedito (oggetto: %item_id%, transazione: %trn_id%)."
Other listings locked by other process.,Altre inserzioni bloccate da un altro processo.
The item either is listed or not available,Oggetto in vendita o non disponibile
The item either is not listed or not available,Oggetto non in vendita o non disponibile
Communication with eBay is started. Please wait...,La comunicazione con eBay è iniziata. Attendi...
Please wait...,Attendi...
product(s) with id(s),prodotti con id
Communication with eBay is finished. Please wait...,La comunicazione con eBay è terminata. Attendi...
"Item status was successfully changed to ""Listed"".","Stato dell'oggetto modificato correttamente in ""Messo in vendita""."
"Item status was successfully changed to ""Sold"".","Stato dell'oggetto modificato correttamente in ""Venduto""."
"Item status was successfully changed to ""Stopped"".","Stato dell'oggetto modificato correttamente in ""Bloccato""."
"Item status was successfully changed to ""Finished"".","Stato dell'oggetto modificato correttamente in ""Terminato""."
Item was successfully added,Oggetto aggiunto correttamente
Method require loaded instance first,Il metodo richiede prima un'istanza caricata
Invalid listing type in attribute.,Tipo di inserzione non valido nell'attributo.
Payment status was updated to Paid on eBay.,Stato del pagamento aggiornato in Pagato su eBay.
Shipping status was updated to Shipped on eBay.,Stato della spedizione aggiornato in Spedito su eBay.
Buyer has changed the shipping address of this order at the time of completing payment on eBay.,L'acquirente ha modificato l'indirizzo di spedizione di questo ordine al momento di completare il pagamento su eBay.
Duplicated eBay orders with ID #%id%.,Ordini eBay duplicati con ID #%id%.
Order Creation Rules were not met. Press Create Order button at Order view page to create it anyway.,Regole di creazione dell'ordine non soddisfatte. Premi il pulsante Crea ordine sulla pagina di visualizzazione dell'ordine per crearlo comunque.
Magento Order #%order_id% should be canceled as new combined eBay order #%new_id% was created.,È necessario annullare l'ordine Magento #%order_id% poich‚ un nuovo ordine eBay combinato #%new_id% è stato creato.
eBay Order #%old_id% was deleted as new combined order #%new_id% was created.,L'ordine eBay #%old_id% è stato eliminato poich‚ un nuovo ordine combinato #%new_id% è stato creato.
Unable to create directory '%directory%'.,Impossibile creare la directory '%directory%'.
Image %url% was not downloaded.,Immagine %url% non scaricata.
Product import is disabled in eBay Account settings.,L'importazione del prodotto è disabilitata nelle impostazioni di account eBay.
Data obtaining for eBay Item failed. Please try again later.,Ottenimento dati per oggetto eBay non riuscito. Riprova più tardi.
Product for eBay Item #%id% was created in Magento catalog.,Il prodotto per l'oggetto eBay #%id% è stato creato nel catalogo Magento.
Magento Order creation for items listed by M2E Pro is disabled in Account settings.,La creazione dell'ordine Magento per oggetti messi in vendita da M2E Pro è disabilitata nelle impostazioni di account.
Magento Order creation for items listed by 3rd party software is disabled in Account settings.,La creazione dell'ordine Magento per oggetti messi in vendita da software di terze parti è disabilitata nelle impostazioni di account.
Product import is disabled in Account settings.,L'importazione del prodotto è disabilitata nelle impostazioni di account.
Not Selected Yet,Non ancora selezionato
eBay Shipping,Spedizione eBay
Checkout Message From Buyer,Messaggio di pagamento dall'acquirente
Customer with ID specified in eBay account settings does not exist.,Il cliente con l'ID specificato nelle impostazioni di account eBay non esiste.
Magento Order was canceled.,Ordine Magento annullato.
Magento Order cannot be canceled.,Impossibile annullare l'ordine Magento.
"Task ""Update Listings Products"" is started. Please wait...","Attività ""Aggiorna prodotti delle inserzioni"" iniziata. Attendi..."
"Task ""Update Listings Products"" is finished. Please wait...","Attività ""Aggiorna prodotti delle inserzioni"" terminata. Attendi..."
"Task ""Update Listings Products"" for eBay account: ""%s"" is started. Please wait...","Attività ""Aggiorna prodotti delle inserzioni"" per account eBay: ""%s"" iniziata. Attendi..."
"Task ""Default Synchronization"" is started. Please wait...","Attività ""Sincronizzazione predefinita"" iniziata. Attendi..."
"Task ""Default Synchronization"" is finished. Please wait...","Attività ""Sincronizzazione predefinita"" terminata. Attendi..."
"The ""Receive"" action is started. Please wait...","Azione ""Ricevi"" iniziata. Attendi..."
"The ""Receive"" action is finished. Please wait...","Azione ""Ricevi"" terminata. Attendi..."
"The ""Receive"" action for eBay account: ""%acc%"" is started. Please wait...","Azione ""Ricevi"" per account eBay: ""%acc%"" iniziata. Attendi..."
"The ""Response"" action is started. Please wait...","Azione ""Risposta"" iniziata. Attendi..."
"The ""Response"" action is finished. Please wait...","Azione ""Risposta"" terminata. Attendi..."
"Task ""Feedbacks Synchronization"" is started. Please wait...","Attività ""Sincronizzazione Feedback"" iniziata. Attendi..."
"Task ""Feedbacks Synchronization"" is finished. Please wait...","Attività ""Sincronizzazione Feedback"" terminata. Attendi..."
"The ""Categories Synchronization"" action is started. Please wait...","Azione ""Sincronizzazione categorie"" iniziata. Attendi..."
"The ""Categories Synchronization"" action is finished. Please wait...","Azione ""Sincronizzazione categorie"" iniziata. Attendi..."
"The ""Categories Synchronization"" action for marketplace: ""%s"" is started. Please wait...","Azione ""Sincronizzazione categorie"" per mercato: ""%s"" iniziata. Attendi..."
"The ""Categories Synchronization"" action for marketplace: ""%mrk%"" has been successfully completed.","Azione ""Sincronizzazione categorie"" per mercato: ""%mrk%"" completata correttamente."
"The ""Receive Details"" action is started. Please wait...","Azione ""Ricevi dettagli"" iniziata. Attendi..."
"The ""Receive Details"" action is finished. Please wait...","Azione ""Ricevi dettagli"" terminata. Attendi..."
"The ""Receive Details"" action for marketplace: ""%s"" is started. Please wait...","Azione ""Ricevi dettagli"" per mercato: ""%s"" iniziata. Attendi..."
"The ""Receive Details"" action for marketplace ""%s"" is in data processing mode. Please wait...","Azione ""Ricevi dettagli"" per mercato: ""%s"" in modalità di elaborazione dati. Attendi..."
"The ""Receive Details"" action for marketplace: ""%mrk%""  has been successfully completed.","Azione ""Ricevi dettagli"" per mercato: ""%mrk%"" completata correttamente."
"The ""Receive Parts Compatibility"" action is started. Please wait...","Azione ""Ricevi compatibilità dei ricambi"" iniziata. Attendi..."
"The ""Receive Parts Compatibility"" action is finished. Please wait...","Azione ""Ricevi compatibilità dei ricambi"" terminata. Attendi..."
"Task ""Marketplaces Synchronization"" is started. Please wait...","Attività ""Sincronizzazione mercati"" iniziata. Attendi..."
"Task ""Marketplaces Synchronization"" is finished. Please wait...","Attività ""Sincronizzazione mercati"" terminata. Attendi..."
"Task ""Messages Synchronization"" is started. Please wait...","Attività ""Sincronizzazione messaggi"" iniziata. Attendi..."
"Task ""Messages Synchronization"" is finished. Please wait...","Attività ""Sincronizzazione messaggi"" terminata. Attendi..."
"Task ""Orders Cancellation Synchronization"" is started. Please wait...","Attività ""Sincronizzazione annullamento ordini"" iniziata. Attendi..."
"Task ""Orders Cancellation Synchronization"" is finished. Please wait...","Attività ""Sincronizzazione annullamento ordini"" terminata. Attendi..."
"Task ""Orders Cancellation Synchronization"" for eBay account: ""%s"" is started. Please wait...","Attività ""Sincronizzazione annullamento ordini"" per account eBay: ""%s"" iniziata. Attendi..."
Reservation period cannot be less than 1 day.,Il periodo di prenotazione non pu• essere inferiore a 1 giorno.
"Task ""Orders Synchronization"" is started. Please wait...","Attività ""Sincronizzazione ordini"" iniziata. Attendi..."
"Task ""Orders Synchronization"" is finished. Please wait...","Attività ""Sincronizzazione ordini"" terminata. Attendi..."
"Task ""Orders Synchronization"" for eBay account: ""%s"" is started. Please wait...","Attività ""Sincronizzazione ordini"" per account eBay: ""%s"" iniziata. Attendi..."
"Task ""Orders Synchronization"" for eBay account: ""%acc%"" is in data processing state. Please wait...","Attività ""Sincronizzazione ordini"" per account eBay: ""%acc%"" in stato di elaborazione dati. Attendi..."
"Task ""Orders Synchronization"" for eBay account: ""%s"" is in order creation state.. Please wait...","Attività ""Sincronizzazione ordini"" per account eBay: ""%s"" in stato di creazione dell'ordine. Attendi..."
"The ""Relist"" action is started. Please wait...","Azione ""Rimetti in vendita"" iniziata. Attendi..."
"The ""Relist"" action is finished. Please wait...","Azione ""Rimetti in vendita"" terminata. Attendi..."
"The ""Revise"" action is started. Please wait...","Azione ""Modifica"" iniziata. Attendi..."
"The ""Revise"" action is finished. Please wait...","Azione ""Modifica"" terminata. Attendi..."
"The ""Stop"" action is started. Please wait...","Azione ""Stop"" iniziata. Attendi..."
"The ""Stop"" action is finished. Please wait...","Azione ""Stop"" terminata. Attendi..."
"Task ""Update 3rd Party Listings"" has completed with errors. View %sl%listings log%el% for details.","Attività ""Aggiorna inserzioni di terze parti"" completata con errori. Vedi %sl%listings log%el% per dettagli."
"Task ""Update 3rd Party Listings"" has completed with warnings. View %sl%listings log%el% for details.","Attività ""Aggiorna inserzioni di terze parti"" completata con avvisi. Vedi %sl%listings log%el% per dettagli."
"The ""Update 3rd Party Listings"" action is started. Please wait...","Azione ""Aggiorna inserzioni di terze parti"" iniziata. Attendi..."
"The ""Update 3rd Party Listings"" action is finished. Please wait...","Azione ""Aggiorna inserzioni di terze parti"" terminata. Attendi..."
"Task ""3rd Party Listings Synchronization"" for eBay account: ""%s"" is started. Please wait...","Attività ""Sincronizzazione inserzioni di terze parti"" per account eBay: ""%s"" iniziata. Attendi..."
"Task ""3rd Party Listings Synchronization"" is started. Please wait...","Attività ""Sincronizzazione inserzioni di terze parti"" iniziata. Attendi..."
"Task ""3rd Party Listings Synchronization"" is finished. Please wait...","Attività ""Sincronizzazione inserzioni di terze parti"" terminata. Attendi..."
"The ""Final"" action is started. Please wait...","Azione ""Finale"" iniziata. Attendi..."
"The ""Final"" action is finished. Please wait...","Azione ""Finale"" terminata. Attendi..."
"The ""Initial"" action is started. Please wait...","Azione ""Iniziale"" iniziata. Attendi..."
"The ""Initial"" action is finished. Please wait...","Azione ""Iniziale"" terminata. Attendi..."
"Task ""Templates Synchronization"" has completed with errors. View %sl%listings log%el% for details.","Attività ""sincronizzazione modelli"" completata con errori. Vedi %sl%listings log%el% per dettagli."
"Task ""Templates Synchronization"" has completed with warnings. View %sl%listings log%el% for details.","Attività ""sincronizzazione modelli"" completata con avvisi. Vedi %sl%listings log%el% per dettagli."
"Task ""Templates Synchronization"" is started. Please wait...","Attività ""Sincronizzazione modelli"" iniziata. Attendi..."
"Task ""Templates Synchronization"" is finished. Please wait...","Attività ""Sincronizzazione modelli"" terminata. Attendi..."
Unknown product details name,Nome dettagli prodotto sconosciuto
product(s),prodotti
M2E Pro,M2E Pro
eBay Accounts,Account eBay
Account does not exist.,L'account non esiste.
The eBay token obtaining is currently unavailable.<br />Reason: %s,L'acquisizione del codice temporaneo eBay non è attualmente disponibile.<br />Motivo: %s
Account was successfully saved,Account salvato correttamente
Account is not added or updated. Try again later.,Aggiunta o aggiornamento dell'account non effettuato. Riprova più tardi.
Communication,Comunicazione
Feedback is not defined.,Feedback non definito.
Requested order was not found.,Impossibile individuare l'ordine richiesto.
Item's Marketplace is Unknown.,Mercato dell'oggetto sconosciuto.
Manage Listings,Gestisci inserzioni
eBay Listings,Inserzioni eBay
Requested eBay Item ID is not found.,Impossibile individuare l'ID oggetto eBay richiesto.
Listing was successfully added,Inserzione aggiunta correttamente
Listing was successfully added.,Inserzione aggiunta correttamente.
Listing does not exist.,L'inserzione non esiste.
The listing is locked by another process. Please try again later.,L'inserzione è bloccata da un altro processo. Riprova più tardi.
The listing was successfully saved.,Inserzione salvata correttamente.
Please select item(s) to remove,Seleziona gli oggetti da rimuovere
%s listing(s) were successfully deleted,Inserzioni %s eliminate correttamente
%s listing(s) have listed items and can not be deleted,Le inserzioni %s hanno oggetti messi in vendita e non possono essere eliminate
Listing does not exist..,L'inserzione non esiste.
The products were added to listing.,I prodotti sono stati aggiunti all'inserzione.
Item was not moved,L'oggetto non è stato spostato
Item was successfully moved,Oggetto spostato correttamente
Required parameters were not selected,I parametri richiesti non sono stati selezionati
ePIDs were saved in Compatibility Attribute.,ePID sono stati salvati in attributo compatibilità.
Id required.,ID obbligatorio.
Product does not exist.,Il prodotto non esiste.
The item has not mapped product.,All'oggetto non è associato alcun prodotto.
Product was successfully unmapped.,Rimozione dell'associazione del prodotto completata correttamente.
Product already exists in M2E listing(s).,Prodotto già esistente nelle inserzioni M2E.
Synchronization settings was successfully saved.,Salvataggio delle impostazioni di sincronizzazione effettuato correttamente.
Activity Logs,Registri attività
Sales,Vendite
eBay Orders,Ordini eBay
Order address has been updated.,Aggiornamento dell'indirizzo dell'ordine completato.
Please select order(s).,Seleziona ordini.
Payment status for selected eBay Order(s) was updated to Paid.,Lo stato del pagamento per gli ordini eBay selezionati è stato aggiornato su Pagato.
Payment status for selected eBay Order(s) was not updated.,Lo stato del pagamento per gli ordini eBay selezionati non è stato aggiornato.
Shipping status for selected eBay Order(s) was updated to Shipped.,Lo stato della spedizione per gli ordini eBay selezionati è stato aggiornato su Spedito.
Shipping status for selected eBay Order(s) was not updated.,Lo stato della spedizione per gli ordini eBay selezionati non è stato aggiornato.
Magento Order was created.,Creazione dell'ordine Magento completata.
Invoice was created.,Creazione della fattura completata.
Shipment was created.,Creazione della spedizione completata.
Transaction ID should be defined.,È necessario definire l'ID transazione.
eBay order transaction does not exist.,Transazione dell'ordine eBay non disponibile.
This is not a PayPal transaction.,Non si tratta di una transazione PayPal.
Template does not exist,Modello non disponibile
Template was successfully saved,Salvataggio del modello effettuato correttamente
"There are no any products for ""%s"" attribute set(s).","Nessun altro prodotto disponibile per gli insiemi di attributi ""%s""."
Product #%s does not exist,Prodotto #%s non disponibile
"Product #%s does not belong to ""%s"" attribute set(s).","Il prodotto #%s non appartiene agli insiemi di attributi ""%s""."
"Please select and update eBay <a href=""%s"" target=""_blank"">marketplaces</a> before adding new General Templates.","Seleziona e aggiorna i <a href=""%s"" target=""_blank"">mercati</a> di eBay prima di aggiungere nuovi Modelli generali."
"Please add eBay <a href=""%s"" target=""_blank"">accounts</a> before adding new General Templates.","Aggiungi gli <a href=""%s"" target=""_blank"">account</a> di eBay prima di aggiungere nuovi Modelli generali."
Template does not exist.,Modello non disponibile.
Category with ID: %s is not found.,Impossibile individuare la categoria con ID: %s.
Ensure that you entered correct ID.,Assicurati di aver immesso l'ID corretto.
Category with ID: %s is non leaf and cannot be used.,La categoria con ID: %s non è secondaria e non pu• essere utilizzata.
"
This tab contains settings of receiving, saving buyers' feedbacks and sending seller's Auto Responses to received feedbacks.<br/><br/>
<b>Note:</b> To allow receiving feedbacks from eBay, Feedbacks Synchronization should be enabled in %s > Configuration > Synchronization.","
Questa scheda contiene le impostazioni di ricezione e salvataggio dei Feedback degli acquirenti, nonch‚ di invio delle risposte automatiche del venditore ai Feedback ricevuti.<br/><br/>
<b>Nota:</b> per consentire la ricezione dei Feedback da eBay, in %s > Configurazione > Sincronizzazione è necessario abilitare Sincronizzazione Feedback."
You should create at least one response template.,È necessario creare almeno un modello di risposta.
Buyers Feedbacks,Feedback acquirenti
Import Feedbacks,Importa Feedback
Allows importing customers' feedbacks from eBay.,Consente di importare i Feedback dei clienti da eBay.
Seller Responses,Risposte venditore
Auto Response,Risposta automatica
