About,A propos
Attachments,Pièces jointes
Synchronization settings have been saved.,Les paramètres de synchronisation ont été enregistrés.
Running All Enabled Tasks,Exécution de toutes les tâches activées
Feedbacks Synchronization,Synchronisation des évaluations
"This option allows synchronizing price and quantity for products which changes are made directly in database.<br/>
    <br/>
    <b>Note:</b> Depending of the number of products, products update can be fully completed, after several synchronization cycles are finished.","Cette option permet de synchroniser le prix et la quantité des produits pour lesquels des modifications sont effectuées directement dans la base de données.<br/>
    <br/>
    <b>Remarque :</b> selon le nombre de produits, la mise à jour peut être entièrement exécutée après plusieurs cycles de synchronisation."
Track Direct Database Changes,Suivre les modifications directes de la base de données
"Have to be enabled if changes in catalog are being made directly to database.<br/><b>Note:</b> It is strongly recommended to enable this option if you really need it,<br/>as it is very resource and time consuming and may affect <br/>synchronization performance.","Cette option doit être activée si des modifications du catalogue sont directement appliquées à la base de données.<br/><b>Remarque :</b> nous vous recommandons vivement de n'activer cette option que si vous l'utilisez réellement,<br/>car son exécution nécessite beaucoup de temps et de ressources et risque d'affecter<br/>les performances de la synchronisation."
"This Log contains information on processes, which were done in Synchronization tasks.<br/><br/>
    <b>Note:</b> Logs of Default, Templates, Orders, Feedbacks and 3rd Party Listings Synchronizations are only recorded when Error(s) or Warning(s) appears.","Ce journal contient des informations sur les processus exécutés dans les tâches de synchronisation.<br/><br/>
    <b>Remarque :</b> les journaux de synchronisation par défaut, des modèles, des commandes, des évaluations et des annonces tierces ne sont enregistrés qu'en cas d'erreurs ou d'avertissements."
TODO TEXT,TEXTE DE L'ACTION
Translated,Traduit
Untranslated,Non traduit
Complete Wizard,Exécuter l'Assistant
"TODO TEXT
            Click to <a href=""%s"">Complete</a> the Wizard.</strong><br />","TEXTE DE L'ACTION
            Cliquez pour <a href=""%s"">exécuter</a> l'Assistant.</strong><br />"
Accounts Set Up,Configuration des comptes
Set up 3rd Party Listings and auto mapping settings for each eBay account.,Configurez les annonces tierces et les paramètres de mappage automatique pour chaque compte eBay.
Completed,Terminé
Incomplete,Incomplet
Reimport 3rd Party Listings,Importer à nouveau les annonces tierces
"In the previous versions we have following limitations of the 3rd Party Listings importing:<br/>
            <ul class=""list"">
                <li> The 3rd Party Listings are imported only for the last four months.</li>
                <li> The quantity of imported 3rd Party Listings at the first time cannot exceed 2000.</li>
            </ul>
            In current version there are no such limitations. Auto map settings will be also applied during re-importing process.
            <br/>So it is recommended to run import process for 3rd party listings again (for that click on the Re-Import button).","Dans les versions précédentes, l'importation des annonces tierces présentait les restrictions suivantes :<br/>
            <ul class=""list"">
                <li> Seules les annonces tierces des quatre derniers mois étaient importées.</li>
                <li> La quantité d'annonces tierces importées lors de la première importation ne pouvait pas dépasser 2000 annonces.</li>
            </ul>
            Dans la version actuelle, ces restrictions n'existent plus. Les paramètres de mappage automatique sont également appliqués lors de la nouvelle importation.
            <br/>Nous vous conseillons par conséquent d'importer à nouveau des annonces tierces (en cliquant sur le bouton Importer à nouveau)."
Synchronization Set Up,Configuration de la synchronisation
"Set up Synchronization rules according to which auto and manual 3rd Party Listings Synchronization will be performed.
                        <br/>
                        <b>Note:</b> The 3rd Party Listings Synchronization has to be enabled in %s -> Configuration -> Synchronization to allow 3rd party listings to be imported from eBay.","Configurez des règles de synchronisation qui définiront la synchronisation automatique ou manuelle à effectuer pour les annonces tierces.
                        <br/>
                        <b>Remarque :</b> la synchronisation des annonces tierces doit être activée à partir du menu %s -> Configuration -> Synchronisation pour que les annonces tierces puissent être importées à partir d'eBay."
"<strong>New 3rd Party Listings functionality was added to this version. Now you can manage your existing listings (not listed by M2E Pro) from the 3rd Party Listings grid.
            <br/><br/>
            Please complete the Configuration Wizard (see the link below) steps to quickly set up settings for auto and manual synchronization of the 3rd Party Listings.
            <br/><br/>
            Click to
            <a href=""%s"">Start Configuration</a> or
            <a href=""%s"">Skip</a> the Wizard.</strong><br />","<strong>Une nouvelle fonctionnalité Annonces tierces a été ajoutée à cette version. Vous pouvez à présent gérer vos annonces existantes (pour les objets non mis en vente via M2E Pro) à partir de la grille des annonces tierces.
            <br/><br/>
            Suivez les différentes étapes de l'Assistant de configuration (voir le lien ci-dessous) pour configurer rapidement les paramètres de synchronisation automatique et manuelle des annonces tierces.
            <br/><br/>
            Cliquez pour
            <a href=""%s"">commencer la configuration</a> ou
            <a href=""%s"">ignorer</a> l'Assistant.</strong><br />"
Step,Etape 
"Note: If you close the wizard, it never starts again. You will be required to set all settings manually. Press Cancel to continue working with wizard.","Remarque : si vous fermez l'Assistant, il ne sera plus exécuté. Vous devrez alors définir tous les paramètres manuellement. Cliquez sur Annuler pour poursuivre votre travail dans l'Assistant."
You have set the main M2E Pro settings and now you have to set up the main settings of the chosen Channel(s).,Vous avez défini les paramètres principaux de M2E Pro et vous devez à présent configurer les paramètres principaux des canaux sélectionnés.
Cron Job Set Up,Configuration de la tâche cron
"Set up a cron job to run every 5 minutes to enable automatic work of the extension.<br/>
            Otherwise, some processes will not work (i.e. synchronization tasks, logs cleaning).","Programmez l'exécution d'une tâche cron toutes les 5 minutes pour activer le fonctionnement automatique de l'extension.<br/>
            Sinon, certains processus ne fonctionneront pas (tâches de synchronisation ou nettoyage des journaux, par exemple)."
Set up Cron Job using PHP,Configurer la tâche cron avec PHP
OR,OU
Set up Cron Job using GET,Configurer la tâche cron avec GET
License Set Up,Configuration de la licence
"You need to specify the License Key. <br/>
            <strong>Note:</strong> M2E Pro does not work without activation.","Vous devez spécifier la clé de licence. <br/>
            <strong>Remarque :</strong> pour que M2E Pro puisse fonctionner, il est nécessaire de l'activer."
Settings Set Up,Configuration des paramètres
In M2E Pro global settings you are required to specify the channel(s) you are going to work with.,Vous devez indiquer les canaux avec lesquels vous allez travailler dans les paramètres généraux de M2E Pro.
"You have successfully installed M2E Pro v. %s.<br/>
             Click
             <a href=""%s"">Start Configuration</a> Wizard to quickly set up main settings or
             <a href=""%s"" onclick=""%s"">Skip</a> it if you intend to set it later. <br/>
             <strong>Note:</strong> If you skip the Wizard, it never starts again. You will be required to set all settings manually.","L'installation de M2E Pro v. %s est terminée.<br/>
             Cliquez sur l'Assistant
             <a href=""%s"">Commencer la configuration</a> pour définir rapidement les paramètres principaux ou sur
             <a href=""%s"" onclick=""%s"">Ignorer</a> pour configurer les paramètres ultérieurement. <br/>
             <strong>Remarque :</strong> si vous ignorez l'Assistant, il ne sera plus exécuté. Vous devrez alors définir tous les paramètres manuellement."
"<strong>You have successfully installed M2E Pro v. %s.</strong><br/><br/>
    The next step is setting up of the main settings, such as Cron job, Licensing (extension does not work without license)
    and others to enable a proper work of the extension.<br/>
    In the table below there are recommended server settings, which guaranty a stable work of the extension. <br/><br/>
    Press the <span style=""text-decoration: underline;"">Start Configuration</span> button to start setting M2E Pro configuration.","<strong>L'installation de M2E Pro v. %s est terminée.</strong><br/><br/>
    Vous devez ensuite configurer les paramètres principaux tels que la tâche cron, la licence (l'extension ne fonctionne pas sans licence)
    et d'autres paramètres afin d'assurer le bon fonctionnement de l'extension.<br/>
    Le tableau ci-dessous présente les paramètres recommandés pour le serveur. Ces paramètres garantissent la stabilité du fonctionnement de l'extension. <br/><br/>
    Cliquez sur le bouton <span style=""text-decoration: underline;"">Commencer la configuration</span> pour commencer à configurer M2E Pro."
eBay Motors,eBay Auto
Feedbacks Synchronization,Synchronisation des évaluations
"Task ""3rd Party Listings Synchronization"" for eBay account: ""%s"" is in data processing state. Please wait...",La tâche « Synchronisation des annonces tierces » pour le compte eBay %s est en cours de traitement. Veuillez patienter...
"Task ""Update Listings Products"" for eBay account: ""%s"" is in data processing state. Please wait...",La tâche « Mise à jour des produits des annonces » pour le compte eBay %s est en cours de traitement. Veuillez patienter...
"Task ""Update 3rd Party Listings"" for eBay account: ""%s"" is in data processing state. Please wait...",La tâche « Mise à jour des annonces tierces » pour le compte eBay %s est en cours de traitement. Veuillez patienter...
"Payment Status was updated to Paid on eBay. As Magento Order #%order_id% can have wrong data, it have to be cancelled.","Le statut du paiement a été remplacé par Payé sur eBay. La commande Magento n° %order_id% doit être annulée, car elle contient peut-être des données erronées."
"Task ""Orders Cancellation Synchronization"" for eBay account: ""%s"" is in data processing state. Please wait...",La tâche « Synchronisation de l'annulation des commandes » pour le compte eBay %s est en cours de traitement. Veuillez patienter...
"Attention! Last eBay AUTOMATIC synchronization was performed by cron more than %s hours ago. You should set up cron job, otherwise no automatic synchronization will be performed. <br/>You can check this %sarticle%s to get how to set cron job. The command for cron job for your server environment can be found %shere%s.","Attention ! La dernière synchronisation automatique d'eBay effectuée par cron remonte à plus de %s heures. Vous devez configurer la tâche cron. A défaut, aucune synchronisation automatique ne sera effectuée. <br/>Vous pouvez consulter cet %sarticle%s pour en savoir plus sur la configuration de la tâche cron. La commande de tâche cron pour votre environnement serveur se trouve %sici%s."
ID,Identifiant
Text,Texte
Creation Date,Date de création
Update Date,Date de mise à jour
Edit,Modifier
Delete,Supprimer
Add Template,Ajouter le modèle
Cancel,Annuler
Save,Enregistrer
Get Token,Obtenir un code
Synchronization Settings,Paramètres de synchronisation
Refresh,Actualiser
Hide,Masquer
Configuration,Configuration
General,Général
3rd Party Listings,Annonces tierces
eBay Store,Boutique eBay
Orders,Commandes
Feedbacks,Evaluations
Edit%s Account,Modifier%s le compte
Add%s Account,Ajouter%s un compte
Save And Continue Edit,Enregistrer et continuer les modifications
Add New Account,Ajouter un nouveau compte
Complete This Step,Terminer cette étape
Save And Proceed Next,Enregistrer et continuer
Back,Précédente
Send,Envoyer
Transaction ID,Numéro de la transaction
Item ID,Numéro de l'objet
Item Title,Titre de l'objet
Buyer Feedback Date,Date de l'évaluation de l'acheteur
Seller Feedback Date,Date de l'évaluation du vendeur
Type,Type
Neutral,Neutre
Positive,Positive
Negative,Négative
Unresponded Feedbacks,Evaluations sans réponse
Responded Feedbacks,Evaluations avec réponse
No ID For Auction,Aucun pseudo pour les Enchères
N/A,S.O.
Buyer,Acheteur
Seller,Vendeur
Send Response,Envoyer la réponse
eBay Feedbacks,Evaluations eBay
Accounts,Comptes
Add%s Listing [Settings],Ajouter%s une annonce [Paramètres]
Next,Suivante
Add%s Listing [Select Categories Products],Ajouter%s une annonce [Sélectionner les produits dans les catégories]
Save And View Listing,Enregistrer et afficher l'annonce
Add%s Listing [Select Categories],Ajouter%s une annonce [Sélectionner les catégories]
Add%s Listing [Select Products],Ajouter%s une annonce [Sélectionner les produits]
Add New,Ajouter un nouveau
"Edit ""%s""%s Listing [Settings]",Modifier l'annonce « %s »%s [Paramètres]
Title,Titre
Total Items,Total des objets
Listed Items,Objets mis en vente
Sold Items,Objets vendus
Inactive Items,Objets inactifs
Actions,Actions
View Products,Afficher les produits
Add Products From Products List,Ajouter des produits à partir de la liste
Add Products From Categories,Ajouter des produits à partir des catégories
Edit Settings,Modifier les paramètres
Delete Listing,Supprimer l'annonce
Are you sure?,Etes-vous sûr ?
View Log,Afficher le journal
Clear Log,Effacer le journal
Edit Selling Format Template,Modifier le modèle de format de mise en vente
Edit Description Template,Modifier le modèle de description
Edit General Template,Modifier le modèle général
Edit Synchronization Template,Modifier le modèle de synchronisation
Clear Log(s),Effacer les journaux
Delete Listing(s),Supprimer les annonces
Product ID,Code produit
Product Title / SKU,Titre du produit/Référence article
eBay Item ID,Numéro de l'objet eBay
eBay Available QTY,Quantité disponible eBay
eBay Sold QTY,Quantité vendue eBay
eBay Price,Prix eBay
Status,Statut
Listed,Mis en vente
Sold,Vendu
Stopped,Arrêté
Finished,Terminé
Start Date,Date de début
End Date,Date de fin
Unmap,Démapper
Revise Item(s),Modifier les annonces
Relist Item(s),Remettre les objets en vente
Stop Item(s),Arrêter la vente des objets
Map Item(s) Automatically,Mapper les objets automatiquement
Move Item(s) to Listing,Déplacer les objets vers une annonce
Map,Mapper
Move,Déplacer
SKU,Référence article
Last action was completed successfully.,La dernière tâche est terminée.
Last action was completed with error(s).,La dernière tâche s'est terminée avec des erreurs.
Last action was completed with warning(s).,La dernière tâche s'est terminée avec des avertissements.
Revise,Modifier
Relist,Remettre en vente
Stop,Arrêter
Status Change,Modification de statut
Manual,Manuel
Automatic,Automatique
Source,Source
Revise Rules,Règles de modification
Relist Rules,Règles de remise en vente
Stop Rules,Règles d'arrêt
Edit%s 3rd Party Synchronization Settings,Modifier%s les paramètres de synchronisation tiers
Save And Complete This Step,Enregistrer et terminer cette étape
"Add Products To%s Listing ""%s"" From Categories",Ajouter des produits à%s l'annonce « %s » à partir des catégories
View Listing,Afficher l'annonce
Save And List,Enregistrer et mettre en vente
Product Title,Nom du produit
Stock Availability,Disponibilité
In Stock,En stock
Out of Stock,En rupture de stock
Price,Prix
Qty,Qté
Visibility,Visibilité
Websites,Sites Web
Please select items.,Veuillez sélectionner des objets.
Are you sure create empty listing?,Voulez-vous vraiment créer une annonce vide ?
"Add Products To%s Listing ""%s"" ",Ajouter des produits à%s l'annonce « %s » 
Product Title / Listing / SKU,Titre du produit/Annonce/Référence article
"""Buy It Now"" Price",Prix d'Achat immédiat
Unknown,Inconnu
Not Listed,Non mis en vente
Manage,Gérer
Listing,Annonce
Go to listing,Accéder à l'annonce
Search%s Listings Items,Rechercher%s des objets dans les annonces
Listings,Annonces
Templates,Modèles
Selling Format Templates,Modèles de format de mise en vente
Description Templates,Modèles de description
General Templates,Modèles généraux
Synchronization Templates,Modèles de synchronisation
Parts Compatibility Attribute,Attribut Compatibilité des pièces
Filled,Renseigné
Empty,Non renseigné
"""Start"" Price",Prix de départ
"""Reserve"" Price",Prix de réserve
eBay End Date,Date de fin eBay
List Item(s),Mettre les objets en vente
Stop on Channel / Remove From Listing,Arrêter la vente sur le canal/Supprimer de l'annonce
Move Item(s) to Another Listing,Déplacer les objets vers une autre annonce
Add Compatible Vehicles,Ajouter des véhicules compatibles
List,Mettre en vente
Stop on Channel / Remove from Listing,Arrêter la vente sur le canal/supprimer de l'annonce
View%s Listing,Afficher%s l'annonce
Edit Templates,Modifier les modèles
Add Products,Ajouter des produits
List All Items,Mettre tous les objets en vente
Task completed. Please wait ...,Fin de la tâche. Veuillez patienter...
"""%s"" task has successfully completed.",La tâche « %s » est terminée.
"""%s"" task has completed with warnings. <a href=""%s"">View log</a> for details.","La tâche « %s » s'est terminée avec des avertissements. <a href=""%s"">Consultez le journal</a> pour plus de détails."
"""%s"" task has completed with errors. <a href=""%s"">View log</a> for details.","La tâche « %s » s'est terminée avec des erreurs. <a href=""%s"">Consultez le journal</a> pour plus de détails."
Sending %s product(s) data on eBay.,Envoi de données produits %s sur eBay.
View All Product Log.,Afficher le journal de tous les produits.
The listing was locked by another process. Please try again later.,L'annonce a été verrouillée par un autre processus. Veuillez réessayer ultérieurement.
Listing is empty.,L'annonce est vide.
Listing All Items On eBay,Mise en vente de tous les objets sur eBay
Listing Selected Items On eBay,Mise en vente des objets sélectionnés sur eBay
Revising Selected Items On eBay,Modification des objets sélectionnés sur eBay
Relisting Selected Items On eBay,Remise en vente des objets sélectionnés sur eBay
Stopping Selected Items On eBay,Arrêt de la vente des objets sélectionnés sur eBay
Stopping On eBay And Removing From Listing Selected Items,Arrêt de la vente des objets sélectionné sur eBay et suppression de ces objets de l'annonce
Please select action.,Sélectionnez une action.
Success,Opération réussie
Notice,Avis
Warning,Avertissement
Error,Erreur
Close,Fermer
Product(s) was successfully moved.,Les produits ont été déplacés.
"Product(s) was not moved. <a href=""%s"">View log</a> for details.","Les produits n'ont pas été déplacés. <a href=""%s"">Consultez le journal</a> pour plus de détails."
"Some product(s) was not moved. <a href=""%s"">View log</a> for details.","Certains produits n'ont pas été déplacés. <a href=""%s"">Consultez le journal</a> pour plus de détails."
Moving eBay Items.,Déplacement des objets eBay.
Products failed to move,Les produits n'ont pas pu être déplacés
Selling Format Template,Modèle de format de mise en vente
Description Template,Modèle de description
General Template,Modèle général
Synchronization Template,Modèle de synchronisation
From Products List,A partir de la liste de produits
From Categories,A partir des catégories
Search Items,Rechercher des objets
Add Listing,Ajouter une annonce
Selling Format,Format de mise en vente
Description,Description
Synchronization,Synchronisation
Update Now,Mettre à jour maintenant
My Messages,Mes messages
Sender,Expéditeur
Message,Message
Sender Message Date,Date du message de l'expéditeur
My Responses,Mes réponses
Unanswered Messages,Messages sans réponse
Answered Messages,Messages avec réponse
Read More,En savoir plus
Response,Réponse
ePID,ePID
Car / Truck,Voiture/camion
Motorcycle,Moto
Make,Marque
Model,Modèle
Submodel,Sous-modèle
Year,Année
Trim,Etat
Engine,Moteur
Change Compatibility Attribute,Modifier l'attribut Compatibilité
Overwrite ePIDs in Compatibility Attribute,Remplacer les codes ePID dans l'attribut Compatibilité
Add ePIDs to Compatibility Attribute,Ajouter des codes ePID à l'attribut Compatibilité
Show ePIDs,Afficher les codes ePID
Edit Shipping Address,Modifier l'adresse de livraison
Save Order Address,Enregistrer l'adresse de la commande
Sale Date,Date de vente
Magento Order #,N° de commande Magento
eBay Order #,N° de commande eBay
Items,Objets
Total Paid,Total payé
Checkout,Finalisation de l'achat
No,Non
Yes,Oui
Paid,Payé
Shipped,Envoyé
Action,Action
View,Afficher
Create Order,Créer la commande
Mark As Paid,Marquer comme payé
Mark As Shipped,Marquer comme envoyé
Mark Order(s) as Shipped,Marquer les commandes comme envoyées
Mark Order(s) as Paid,Marquer les commandes comme payées
Deleted,Supprimé
Last order action was completed successfully.,La dernière tâche de commande est terminée.
Last order action was completed with error(s).,La dernière tâche de commande s'est terminée avec des erreurs.
Last order action was completed with warning(s).,La dernière tâche de commande s'est terminée avec des avertissements.
Options,Options
QTY,Quantité
Transaction,Transaction
Item,Objet
Transaction #,N° de la transaction
Fee,Frais
Amount,Montant
Date,Date
Incl. Tax,Inclut la
Excl. Tax,
Product,Produit
Original Price,Prix de départ
Tax Percent,Pourcentage de la taxe
Row Total,Total de la ligne
View on eBay,Afficher sur eBay
Create Date,Date de création
View Order Details,Afficher les détails de la commande
Mark as Shipped,Marquer comme envoyé
Mark as Paid,Marquer comme payé
Are you sure that you want to create new Magento Order?,Voulez-vous vraiment créer une commande Magento ?
Run Now,Exécuter maintenant
Insert,Insérer
Select All,Sélectionner tout
Confirm,Confirmer
Show / Hide Editor,Afficher/masquer l'éditeur
Edit%s Description Template,Modifier%s le modèle de description
Add%s Description Template,Ajouter%s un modèle de description
Duplicate,Dupliquer
Preview,Prévisualisation
View Random Product,Afficher un produit au hasard
Change Category,Changer de catégorie
Reset Category,Réinitialiser la catégorie
Refresh Store Categories,Actualiser les catégories de la boutique
Add Method,Ajouter un mode
Remove,Supprimer
Refresh Profiles,Actualiser les profils
Add Custom Specific,Ajouter une caractéristique personnalisée
Item Specifics,Caractéristiques de l'objet
Listing Upgrades,Options de mise en vente
Shipping,Livraison
Payment,Paiement
Return Policy,Conditions de retour
Edit%s General Template,Modifier%s le modèle général
Add%s General Template,Ajouter%s un modèle général
Edit%s Selling Format Template,Modifier%s le modèle de format de mise en vente
Add%s Selling Format Template,Ajouter%s un modèle de format de mise en vente
Edit%s Synchronization Template,Modifier%s le modèle de synchronisation
Add%s Synchronization Template,Ajouter%s un modèle de synchronisation
Proceed,Continuer
Skip,Ignorer
Complete Configuration,Terminer la configuration
Start Configuration,Commencer la configuration
Re-import,Importer à nouveau
"No, thanks",Ignorer
eBay DateTime object is null,La valeur de l'objet eBay DateTime est nulle
"Listing ""%listingId%"" locked by other process.",L'annonce %listingId% est verrouillée par un autre processus.
Relisting,Remise en vente
Revising,Modification
Stopping,Arrêt
Item is listed or not available,L'objet est mis en vente ou n'est pas disponible
Item was successfully listed,L'objet a été mis en vente
Multiple Item Connector has received empty array,Le connecteur d'objets multiples a reçu un tableau vide
Multiple Item Connector has received invalid product data type,Le connecteur d'objets multiples a reçu un type de données produits non valide
Multiple Item Connector has received products from different listings,Le connecteur d'objets multiples a reçu des produits de différentes annonces
"The item either is listed, or not listed yet or not available","L'objet est mis en vente, n'est pas encore mis en vente ou n'est pas disponible"
Item already was started on eBay,La vente de l'objet a déjà commencé sur eBay
Item was successfully relisted,L'objet a été remis en vente
Item is not listed or not available,L'objet n'est pas mis en vente ou n'est pas disponible
Variation attributes were changed. Please stop and list product.,Les attributs des versions ont été modifiés. Veuillez arrêter la vente et mettre le produit en vente.
Item was already stopped on eBay,La vente de l'objet a déjà été arrêtée sur eBay
Item was successfully revised,L'annonce a été modifiée
variations,versions
qty,quantité
price,prix
title,titre
subtitle,sous-titre
description,description
was successfully revised,a été modifiée
Item was successfully stopped,La vente de l'objet a été arrêtée
eBay Order status was not updated. Reason: %msg%,Le statut de la commande eBay n'a pas été modifié. Motif : %msg%
Status of India site orders cannot be updated if the buyer uses PaisaPay payment method.,Le statut des commandes du site eBay Inde ne peut pas être modifié si l'acheteur a utilisé PaisaPay comme mode de paiement.
Invalid action.,Action non valide.
Payment status for eBay order was not updated. Reason: eBay Failure.,Le statut du paiement de la commande eBay n'a pas été modifié. Motif : échec sur eBay.
Payment status for eBay order was updated to Paid.,Le statut du paiement de la commande eBay a été remplacé par Payé.
Shipping status for eBay order was not updated. Reason: eBay Failure.,Le statut de la livraison de la commande eBay n'a pas été modifié. Motif : échec sur eBay.
"Tracking number ""%num%"" for ""%code%"" has been sent to eBay.",Le numéro de suivi %num% pour %code% a été envoyé à eBay.
Shipping status for eBay order was updated to Shipped.,Le statut de la livraison de la commande eBay a été remplacé par Envoyé.
Dispute cannot be opened. Reason: Dispute explanation is not defined.,Impossible d'ouvrir le litige. Motif : l'explication du litige n'est pas définie.
Dispute cannot be opened. Reason: Dispute reason is not defined.,Impossible d'ouvrir le litige. Motif : le motif du litige n'est pas défini.
Unpaid Item Process was not open for item #%id%. Reason: %msg%,Aucun litige pour objet non payé n'a été ouvert pour l'objet n° %id%. Motif : %msg%
Unpaid Item Process was not open for item #%id%. Reason: eBay failure. Please try again later.,Aucun litige pour objet non payé n'a été ouvert pour l'objet n° %id%. Motif : échec sur eBay. Veuillez réessayer ultérieurement.
Unpaid Item Process for item #%id% has been initiated.,Un litige pour objet non payé a été ouvert pour l'objet n° %id%.
"Action was not completed (Item: %item_id%, Transaction: %trn_id%). Reason: %msg%","La tâche n'a pas été terminée (objet : %item_id%, transaction : %trn_id%). Motif : %msg%"
"Shipping status was not updated (Item: %item_id%, Transaction: %trn_id%). Reason: %msg%","Le statut de la livraison n'a pas été modifié (objet : %item_id%, transaction : %trn_id%). Motif : %msg%"
"Shipping status was not updated (Item: %item_id%, Transaction: %trn_id%). Reason: eBay Failure.","Le statut de la livraison n'a pas été modifié (objet : %item_id%, transaction : %trn_id%). Motif : échec sur eBay."
"Tracking number ""%num%"" for ""%code%"" has been sent to eBay (Item: %item_id%, Transaction: %trn_id%).","Le numéro de suivi %num% pour %code% a été envoyé à eBay (objet : %item_id%, transaction : %trn_id%)."
"Order item has been marked as shipped (Item: %item_id%, Transaction: %trn_id%).","L'objet de la commande a été marqué comme envoyé (objet : %item_id%, transaction : %trn_id%)."
Other listings locked by other process.,D'autres annonces sont verrouillées par un autre processus.
The item either is listed or not available,L'objet est mis en vente ou n'est pas disponible
The item either is not listed or not available,L'objet n'est pas mis en vente ou n'est pas disponible
Communication with eBay is started. Please wait...,Début de la communication avec eBay. Veuillez patienter...
Please wait...,Veuillez patienter...
product(s) with id(s),produit(s) avec code
Communication with eBay is finished. Please wait...,Fin de la communication avec eBay. Veuillez patienter...
"Item status was successfully changed to ""Listed"".",Le statut de l'objet a été remplacé par Mis en vente.
"Item status was successfully changed to ""Sold"".",Le statut de l'objet a été remplacé par Vendu.
"Item status was successfully changed to ""Stopped"".",Le statut de l'objet a été remplacé par Arrêté.
"Item status was successfully changed to ""Finished"".",Le statut de l'objet a été remplacé par Terminé.
Item was successfully added,L'objet a été ajouté
Method require loaded instance first,La méthode requiert le chargement préalable de l'instance
Invalid listing type in attribute.,Type d'annonce non valide dans l'attribut.
Payment status was updated to Paid on eBay.,Le statut du paiement a été remplacé par Payé sur eBay.
Shipping status was updated to Shipped on eBay.,Le statut de la livraison a été remplacé par Envoyé sur eBay.
Buyer has changed the shipping address of this order at the time of completing payment on eBay.,L'acheteur a modifié l'adresse de livraison de la commande au moment de finaliser le paiement sur eBay.
Duplicated eBay orders with ID #%id%.,Les commandes eBay ayant le numéro %id% ont été dupliquées.
Order Creation Rules were not met. Press Create Order button at Order view page to create it anyway.,Les règles de création de commande n'ont pas été respectées. Cliquez sur le bouton Créer la commande sur la page de la commande pour la créer quand même.
Magento Order #%order_id% should be canceled as new combined eBay order #%new_id% was created.,"La commande Magento n° %order_id% doit être annulée, car la nouvelle commande combinée eBay n° %new_id% a été créée."
eBay Order #%old_id% was deleted as new combined order #%new_id% was created.,"La commande eBay n° %old_id% a été supprimée, car la nouvelle commande combinée n° %new_id% a été créée."
Unable to create directory '%directory%'.,Impossible de créer le répertoire %directory%.
Image %url% was not downloaded.,L'image %url% n'a pas été téléchargée.
Product import is disabled in eBay Account settings.,L'importation de produits est désactivée dans les paramètres du compte eBay.
Data obtaining for eBay Item failed. Please try again later.,L'obtention des données pour l'objet eBay a échoué. Veuillez réessayer ultérieurement.
Product for eBay Item #%id% was created in Magento catalog.,Le produit correspondant à l'objet eBay n° %id% a été créé dans le catalogue Magento.
Magento Order creation for items listed by M2E Pro is disabled in Account settings.,La création de commandes Magento pour les objets mis en vente via M2E Pro est désactivée dans les paramètres du compte.
Magento Order creation for items listed by 3rd party software is disabled in Account settings.,La création de commandes Magento pour les objets mis en vente via un logiciel tiers est désactivée dans les paramètres du compte.
Product import is disabled in Account settings.,L'importation de produits est désactivée dans les paramètres du compte.
Not Selected Yet,Pas encore sélectionné
eBay Shipping,Services de livraison eBay
Checkout Message From Buyer,Message de finalisation de l'achat de la part de l'acheteur
Customer with ID specified in eBay account settings does not exist.,Le client dont le pseudo est spécifié dans les paramètres du compte eBay n'existe pas.
Magento Order was canceled.,La commande Magento a été annulée.
Magento Order cannot be canceled.,Impossible d'annuler la commande Magento.
"Task ""Update Listings Products"" is started. Please wait...",La tâche « Mise à jour des produits des annonces » a démarré. Veuillez patienter...
"Task ""Update Listings Products"" is finished. Please wait...",La tâche « Mise à jour des produits des annonces » est terminée. Veuillez patienter...
"Task ""Update Listings Products"" for eBay account: ""%s"" is started. Please wait...",La tâche « Mise à jour des produits des annonces » pour le compte eBay %s a démarré. Veuillez patienter...
"Task ""Default Synchronization"" is started. Please wait...",La tâche « Synchronisation par défaut » a démarré. Veuillez patienter...
"Task ""Default Synchronization"" is finished. Please wait...",La tâche « Synchronisation par défaut » est terminée. Veuillez patienter...
"The ""Receive"" action is started. Please wait...",La tâche « Réception » a démarré. Veuillez patienter...
"The ""Receive"" action is finished. Please wait...",La tâche « Réception » est terminée. Veuillez patienter...
"The ""Receive"" action for eBay account: ""%acc%"" is started. Please wait...",La tâche « Réception » pour le compte eBay %acc% a démarré. Veuillez patienter...
"The ""Response"" action is started. Please wait...",La tâche « Réponse » a démarré. Veuillez patienter...
"The ""Response"" action is finished. Please wait...",La tâche « Réponse » est terminée. Veuillez patienter...
"Task ""Feedbacks Synchronization"" is started. Please wait...",La tâche « Synchronisation des évaluations » a démarré. Veuillez patienter...
"Task ""Feedbacks Synchronization"" is finished. Please wait...",La tâche « Synchronisation des évaluations » est terminée. Veuillez patienter...
"The ""Categories Synchronization"" action is started. Please wait...",La tâche « Synchronisation des catégories » a démarré. Veuillez patienter...
"The ""Categories Synchronization"" action is finished. Please wait...",La tâche « Synchronisation des catégories » est terminée. Veuillez patienter...
"The ""Categories Synchronization"" action for marketplace: ""%s"" is started. Please wait...",La tâche « Synchronisation des catégories » pour la place de marché %s a démarré. Veuillez patienter...
"The ""Categories Synchronization"" action for marketplace: ""%mrk%"" has been successfully completed.",La tâche « Synchronisation des catégories » pour la place de marché %mrk% est terminée.
