About,Info
"
This section allows you to set preferences of Auto Logs Clearing for different Logs,
which can be found in %s > Activity Logs.<br/>Set settings and press <span style=""text-decoration: underline;"">Save Setting</span>. Enabled tasks will be automatically
performed according to your Cron job.<br/><br/>
It is also possible to launch the certain task manually by pressing the <span style=""text-decoration: underline;"">Run Now</span> button in appropriate section or all tasks at once by pressing
<span style=""text-decoration: underline;"">Run Enable Now</span> in the top corner.<br/>
Log records will be deleted according to the <i>Keep For</i> setting.<br/><br/>
To clear all log records of the certain Log, press <span style=""text-decoration: underline;"">Clear All</span> in appropriate section. To clear all log records of all Logs at once
click <span style=""text-decoration: underline;"">Clear All Logs</span> in the top corner.
        ","
In diesem Abschnitt können Sie die Einstellungen für das automatische Löschen verschiedener Protokolle festlegen.
 Diese finden Sie unter %s > Aktivitätsprotokolle.<br/>Legen Sie die gewünschten Einstellungen fest und klicken Sie auf <span style=""text-decoration: underline;"">Einstellungen speichern</span>. Aktivierte Aufgaben werden entsprechend Ihres Cronjobs
ausgeführt.<br/><br/>
Alternativ können Sie bestimmte Aufgaben auch manuell ausführen, indem Sie im entsprechenden Abschnitt auf <span style=""text-decoration: underline;"">Jetzt ausführen</span> klicken, oder alle Aufgaben gleichzeitig ausführen, indem Sie oben rechts auf 
<span style=""text-decoration: underline;"">Aktivierte jetzt ausführen</span> klicken.<br/>
Protokolldatensätze werden entsprechend den für <i>Behalten für</i> gewählten Einstellungen gelöscht.<br/><br/>
Wenn Sie alle Datensätze eines bestimmten Protokolls löschen möchten, klicken Sie dazu im entsprechenden Abschnitt auf <span style=""text-decoration: underline;"">Alle löschen</span>. Wenn Sie alle Protokolldatensätze aller Protokolle gleichzeitig entfernen möchten, klicken Sie dazu oben rechts auf 
 <span style=""text-decoration: underline;"">Alle Protokolle löschen</span>.
        "
The clearing all logs started. Please wait ...,Alle Protokolle werden gelöscht. Bitte warten Sie...
The clearing of %log% log started. Please wait ...,Das Protokoll %log% wird gelöscht. Bitte warten Sie...
Listings Log Clearing,Angebotsprotokoll löschen
Performs automatic log records clearing.,Führt den Vorgang zum Löschen der Protokolldatensätze automatisch aus.
Keep For (days),Behalten für (Tage)
Time interval for which log records should be kept.,"Zeitintervall, während dem die Protokolldatensätze aufbewahrt werden sollen."
3rd Party Listings Log Clearing,Protokoll für Angebote von Drittanbietern löschen
Synchronization Log Clearing,Synchronisierungsprotokoll löschen
"This Log contains all information about actions, which were done with all M2E Pro Listings and their items.","Dieses Protokoll enthält alle Informationen zu Aktionen, die für M2E Pro-Angebote und ihre Artikel ausgeführt wurden."
"The products below will not be moved into the chosen listing. <br />
                                    <div style=""font-weight: normal;"">
                                        <span style=""text-decoration: underline"">Possible reasons:</span> <br />
                                        The products are already present in the chosen listing.<br />
                                        The chosen listing has 'Do Not Show' in 'Products Presented in Other Listings' and these products are present in another listing(s).<br />
                                    </div>","Die nachfolgenden Produkte werden nicht in das ausgewählte Angebot verschoben. <br />
                                    <div style=""font-weight: normal;"">
                                        <span style=""text-decoration: underline"">Mögliche Gründe:</span> <br />
                                        Die Produkte sind bereits im ausgewählten Angebot vorhanden.<br />
                                        Das ausgewählte Angebot hat „Nicht anzeigen als Wert für „In anderen Angeboten aufgeführte Produkte“, und die Produkte, die Sie hinzufügen möchten, werden in anderen Angeboten aufgeführt.<br />
                                    </div>"
"This Log contains all information about actions, which were done with 3rd Party Listings.","Dieses Protokoll enthält alle Informationen zu Aktionen, die für Angebote von Drittanbietern ausgeführt wurden."
Enter Product ID,Geben Sie die Produkt-ID
Or SKU,oder Bestandseinheit ein
"This section contains information on all Listings' Items.<br/>
    You can search for necessary Items and manage them from their Listings: click on the icon in the Manage column on appropriate
    line to navigate to the Listing, that contains chosen product.","Dieser Abschnitt enthält Informationen zu allen Angebotsartikeln.<br/>
    Sie können nach gewünschten Artikeln suchen und sie über ihre Angebote verwalten: Klicken Sie auf das Symbol in der entsprechenden Zeile der Spalte „Verwalten“,
    um zu dem Angebot mit dem ausgewählten Produkt zu navigieren."
Errors Summary,Zusammenfassung der Fehler
Product(s),Produkt(e)
Payment Method,Zahlungsmethode
%channel% Order ID,%channel%-Bestellnummer
%channel% Final Fee,%channel%-Verkaufsprovision
Transactions,Transaktionen
Transaction #,Transaktion #
Fee,Gebühr
Amount,Betrag
Date,Datum
Order ID,Bestellnummer
Marketplaces settings have been saved.,Die Einstellungen für den Marktplatz wurden gespeichert.
You must select at least one marketplace you will work with.,"Sie müssen mindestens einen Marktplatz auswählen, in dem Sie aktiv sein werden."
Getting information. Please wait ...,Informationen werden abgerufen. Bitte warten Sie...
Preparing to start. Please wait ...,Start wird vorbereitet. Bitte warten Sie...
Synchronization has successfully ended.,Die Synchronisierung wurde abgeschlossen.
"Synchronization ended with warnings. <a href=""%url%"">View log</a> for details.",Die Synchronisierung wurde mit Warnungen abgeschlossen. Weitere Details finden Sie unter <a href=""%url%"">Protokoll anzeigen</a>.
"Synchronization ended with errors. <a href=""%url%"">View log</a> for details.",Die Synchronisierung wurde mit Fehlern abgeschlossen. Weitere Details finden Sie unter <a href=""%url%"">Protokoll anzeigen</a>.
"This section allows you to set up the Marketplaces you will work with.<br/>
    Enable certain marketplaces and press the <span style=""text-decoration: underline;"">Save And Update</span> button in the top right corner, all necessary marketplace data will be downloaded and synchronized with M2E Pro settings.<br/><br/>
    It is recommended to update marketplaces when any marketplace changes are announced. <br/><br/>
    <b>Note:</b> Installation and update processes might be time-consuming, depending on the number of enabled marketplaces and your server environment. <br/>
    ","In diesem Abschnitt können Sie die Marktplätze festlegen, in denen Sie aktiv sein werden.<br/>
    Aktivieren Sie die gewünschten Marktplätze und klicken Sie oben rechts auf <span style=""text-decoration: underline;"">Speichern und aktualisieren</span>. Die Daten aller gewünschten Marktplätze werden heruntergeladen und mit den M2E-Einstellungen synchronisiert.<br/><br/>
    Wir empfehlen, die Marktplätze zu aktualisieren, sobald Änderungen in den Marktplätzen angekündigt werden. <br/><br/>
    <b>Hinweis:</b> Die Installation und Aktualisierung kann je nach Menge der aktivierten Marktplätze und Ihrer Server etwas mehr Zeit in Anspruch nehmen. <br/>
    "
Store Debug Information,Debug-Informationen zum Shop
View All Order Logs.,Alle Bestellprotokolle anzeigen.
This section contains global settings of M2E Pro and allows you to manage them in your opinion.,In diesem Abschnitt können Sie die globalen Einstellungen von M2E Pro anzeigen und Ihren Vorstellungen entsprechend verwalten.
You should enable at least one component.,Sie müssen mindestens eine Komponente aktivieren.
Default component should be enabled.,Die Standardkomponente muss aktiviert sein.
Channel Settings,Channel-Einstellungen
eBay channel state.,Status des eBay-Channels
Amazon channel state.,Status des Amazon-Channels
Default Channel,Standard-Channel
The tab of which channel should be opened by default.,"Legen Sie auf der Registerkarte fest, welcher Channel standardmäßig geöffnet werden soll."
Interface Settings,Schnittstellen-Einstellungen
Products Thumbnails,Produkt-Vorschaubilder
Hide,Ausblenden
Show,Anzeigen
Shows / Hides products thumbnails on Add Products and View Listing pages.,Mit dieser Option können Sie Produkt-Indexbilder auf den Seiten „Produkte hinzufügen“ und „Angebot aufrufen“ anzeigen/ausblenden.
Help Blocks,Hilfe-Abschnitte
Shows / Hides all Help blocks.,Alle Hilfe-Abschnitte werden angezeigt/ausgeblendet.
Restores all manually closed Help blocks.,Alle manuell geschlossenen Hilfe-Abschnitte werden wiederhergestellt.
Notifications,Benachrichtigungen
Negative Feedbacks,Negative Bewertungen
Notifies when a new negative feedback was received.,"Sie werden benachrichtigt, wenn Sie eine neue negative Bewertung erhalten haben."
My Messages,Meine Nachrichten
Notifies when new messages were received during synchronization.,"Sie werden benachrichtigt, wenn Sie während der Synchronisierung neue Nachrichten erhalten haben."
Cron,Cron
Notifies if cron is not run more than 12 hours.,"Sie werden benachrichtigt, wenn Cron seit mehr als 12 Stunden nicht ausgeführt wurde."
"Please take a look at <a href=""%s"" onclick=""%s"">Documentation</a> and <a href=""%s"" onclick=""%s"">Knowledge Base</a>.
                Most probably it has the answer to your question(s).<br/>
                If you still have any questions, fill in the form below to contact our Customer Support. <br/><br/>
                <b>Note:</b> We provide support during our working hours: 10 a.m. - 6 p.m. (GMT+2), mon - fri.","Bitte werfen Sie einen Blick in die <a href=""%s"" onclick=""%s"">Dokumentation</a> und die <a href=""%s"" onclick=""%s"">Wissensdatenbank</a>.
        Mit hoher Wahrscheinlichkeit finden Sie dort eine Antwort auf Ihre Frage(n).<br/>
        Falls Sie weiterhin Fragen haben, benutzen Sie das Kontaktformular, um eine Nachricht an unseren Kundenservice zu schicken. <br/><br/>
        <b>Hinweis:</b> Unser Kundenservice steht Ihnen an Werktagen (Mo-Fr) von 10 bis 18 Uhr zur Verfügung."
No Articles Found.,Keine Artikel gefunden.
Frequently Asked Questions,Fragen und Antworten
Send Message To Developers,Nachricht an Entwickler senden
Subject,Betreff
Contact Mail,E-Mail der Kontaktperson
Contact Name,Name der Kontaktperson
Inquiry,Anfrage
Defect,Mangel
Feature Request,Anregung für neue Funktion
"What steps will reproduce the problem?
1.
2.
3.

What is the expected output? What do you see instead?


Please provide any additional information below.
","Mit welchen Schritten kann der Fehler nachvollzogen werden?
1.
2.
3.

Welches Ergebnis erwarten Sie? Was sehen Sie stattdessen?


Bitte geben Sie unten nach Möglichkeit weitere Informationen an.
"
Attachments,Anhänge
Synchronization settings have been saved.,Die Synchronisierungseinstellungen wurden gespeichert.
Running All Enabled Tasks,Alle aktivierten Aufgaben werden ausgeführt
Feedbacks Synchronization,Bewertungen synchronisieren
"This option allows synchronizing price and quantity for products which changes are made directly in database.<br/>
    <br/>
    <b>Note:</b> Depending of the number of products, products update can be fully completed, after several synchronization cycles are finished.","Mit dieser Option können Sie die Preis- und Stückzahlen für Produkte synchronisieren, deren Änderungen direkt in der Datenbank vorgenommen wurden.<br/>
    <br/>
    <b>Hinweis:</b> Je nach Anzahl der Produkte, können die Produkte nach mehreren Synchronisierungsdurchgängen vollständig aktualisiert werden."
Track Direct Database Changes,Direkte Änderungen in der Datenbank nachverfolgen
"Have to be enabled if changes in catalog are being made directly to database.<br/><b>Note:</b> It is strongly recommended to enable this option if you really need it,<br/>as it is very resource and time consuming and may affect <br/>synchronization performance.","Diese Option muss aktiviert sein, wenn die Änderungen im Katalog direkt an der Datenbank vorgenommen werden.<br/><b>Hinweis:</b> Wir empfehlen, diese Option nur dann zu aktivieren, wenn sie wirklich gebraucht wird. <br/>Diese Option verwendet viel Zeit und Ressourcen und kann <br/>die Synchronisierung beeinträchtigen."
"This Log contains information on processes, which were done in Synchronization tasks.<br/><br/>
    <b>Note:</b> Logs of Default, Templates, Orders, Feedbacks and 3rd Party Listings Synchronizations are only recorded when Error(s) or Warning(s) appears.","Dieses Protokoll enthält Informationen zu Prozessen, die in Synchronisierungsaufgaben ausgeführt wurden.<br/><br/>
    <b>Hinweis:</b> Die Protokolle der Synchronisierung von Standardeinstellungen, Vorlagen, Bestellungen, Bewertungen und Angeboten von Drittanbietern werden nur dann aufgezeichnet, wenn Fehler oder Warnungen auftreten."
TODO TEXT,ZU ERLEDIGEN-TEXT
Translated,Übersetzt
Untranslated,Nicht übersetzt
Complete Wizard,Assistent abschließen
"TODO TEXT
            Click to <a href=""%s"">Complete</a> the Wizard.</strong><br />","ZU ERLEDIGEN-TEXT
            Klicken Sie auf <a href=""%s"">Abschließen</a>, um den Assistent abzuschließen.</strong><br />"
Accounts Set Up,Konten einrichten
Set up 3rd Party Listings and auto mapping settings for each eBay account.,Legen Sie die Einstellungen für Angebote von Drittanbietern und ihre automatische Zuordnung für alle eBay-Mitgliedskonten fest.
Completed,Abgeschlossen
Incomplete,Unvollständig
Reimport 3rd Party Listings,Angebote von Drittanbietern erneut importieren
"In the previous versions we have following limitations of the 3rd Party Listings importing:<br/>
            <ul class=""list"">
                <li> The 3rd Party Listings are imported only for the last four months.</li>
                <li> The quantity of imported 3rd Party Listings at the first time cannot exceed 2000.</li>
            </ul>
            In current version there are no such limitations. Auto map settings will be also applied during re-importing process.
            <br/>So it is recommended to run import process for 3rd party listings again (for that click on the Re-Import button).","In den vorherigen Versionen gab es folgende Einschränkungen beim Import von Angeboten von Drittanbietern:<br/>
            <ul class=""list"">
                <li> Es wurden nur Angebote von Drittanbietern aus den letzten vier Monaten importiert.</li>
                <li> Es konnten nicht mehr als 2000 Angebote von Drittanbietern erstmalig importiert werden.</li>
            </ul>
            In der neuen Version gibt es diese Einschränkungen nicht mehr. Die Einstellungen für die automatische Zuordnung werden auch beim erneuten Import von Angeboten angewendet.
            <br/>Wir empfehlen daher, den Importvorgang für Angebote von Drittanbietern erneut auszuführen (klicken Sie dazu auf „Erneut importieren“)."
Synchronization Set Up,Synchronisierung einrichten
"Set up Synchronization rules according to which auto and manual 3rd Party Listings Synchronization will be performed.
                        <br/>
                        <b>Note:</b> The 3rd Party Listings Synchronization has to be enabled in %s -> Configuration -> Synchronization to allow 3rd party listings to be imported from eBay.","Legen Sie die Regeln für die Synchronisierung fest, nach denen die automatische und manuelle Synchronisierung von Angeboten von Drittanbietern erfolgen sollen.
                        <br/>
                        <b>Hinweis:</b> Die Synchronisierung der Angebote von Drittanbietern muss unter %s -> Konfiguration -> Synchronisierung aktiviert werden, damit Angebote von Drittanbietern aus eBay importiert werden können."
"<strong>New 3rd Party Listings functionality was added to this version. Now you can manage your existing listings (not listed by M2E Pro) from the 3rd Party Listings grid.
            <br/><br/>
            Please complete the Configuration Wizard (see the link below) steps to quickly set up settings for auto and manual synchronization of the 3rd Party Listings.
            <br/><br/>
            Click to
            <a href=""%s"">Start Configuration</a> or
            <a href=""%s"">Skip</a> the Wizard.</strong><br />","<strong>Diese Version enthält neue Funktionen für Angebote von Drittanbietern. Jetzt können Sie Ihre vorhandenen Angebote, die nicht mit M2E Pro eingestellt wurden, über die Tabelle für die Angebote von Drittanbietern verwalten.
            <br/><br/>
            Bitte führen Sie den Konfigurationsassistenten aus (siehe Link unten) und richten Sie in wenigen Schritten die Einstellungen für die automatische und manuelle Synchronisierung von Angeboten von Drittanbietern ein.
            <br/><br/>
            Klicken Sie auf
            <a href=""%s"">Konfiguration starten</a> oder
            <a href=""%s"">Überspringen</a> Sie den Assistenten.</strong><br />"
Step,Schritt
"Note: If you close the wizard, it never starts again. You will be required to set all settings manually. Press Cancel to continue working with wizard.","Hinweis: Wenn Sie den Assistenten jetzt schließen, wird er kein zweites Mal geöffnet. Sie müssen dann alle Einstellungen manuell vornehmen. Klicken Sie auf „Abbrechen“, um den Assistenten weiter auszuführen."
You have set the main M2E Pro settings and now you have to set up the main settings of the chosen Channel(s).,Sie haben jetzt die wichtigsten Einstellungen für M2E Pro vorgenommen. Als nächstes müssen Sie die wichtigsten Einstellungen für den/die ausgewählten Channel festlegen.
Cron Job Set Up,Cronjob einrichten
"Set up a cron job to run every 5 minutes to enable automatic work of the extension.<br/>
            Otherwise, some processes will not work (i.e. synchronization tasks, logs cleaning).","Definieren Sie einen Cronjob mit Ausführung im 5-Minuten-Takt, damit die Erweiterung automatische Vorgänge durchführen kann.<br/>
            Andernfalls werden manche Prozesse nicht funktionieren (z. B. automatische Synchronisierungsaufgaben oder Protokoll-Löschvorgänge)."
Set up Cron Job using PHP,Cronjob mit PHP einrichten
OR,oder
Set up Cron Job using GET,Cronjob mit GET einrichten
License Set Up,Lizenz einrichten
"You need to specify the License Key. <br/>
            <strong>Note:</strong> M2E Pro does not work without activation.","Sie müssen den Lizenzschlüssel angeben. <br/>
            <strong>Hinweis:</strong> M2E Pro kann ohne Aktivierung nicht verwendet werden."
Settings Set Up,Einstellungen einrichten
In M2E Pro global settings you are required to specify the channel(s) you are going to work with.,"In den globalen Einstellungen von M2E Pro müssen die Channel, mit denen Sie arbeiten möchten, eingerichtet werden."
"You have successfully installed M2E Pro v. %s.<br/>
             Click
             <a href=""%s"">Start Configuration</a> Wizard to quickly set up main settings or
             <a href=""%s"" onclick=""%s"">Skip</a> it if you intend to set it later. <br/>
             <strong>Note:</strong> If you skip the Wizard, it never starts again. You will be required to set all settings manually.","M2E Pro v. %s wurde erfolgreich installiert.<br/>
             Klicken Sie auf
             <a href=""%s"">Konfiguration starten</a>, um die wichtigsten Einstellungen schnell und einfach mithilfe des Assistenten einzurichten, oder klicken Sie auf
             <a href=""%s"" onclick=""%s"">Überspringen</a>, wenn Sie die Einstellungen später konfigurieren möchten. <br/>
             <strong>Hinweis:</strong> Wenn Sie den Assistenten jetzt schließen, wird er nicht mehr geöffnet. Sie müssen dann alle Einstellungen manuell vornehmen."
"<strong>You have successfully installed M2E Pro v. %s.</strong><br/><br/>
    The next step is setting up of the main settings, such as Cron job, Licensing (extension does not work without license)
    and others to enable a proper work of the extension.<br/>
    In the table below there are recommended server settings, which guaranty a stable work of the extension. <br/><br/>
    Press the <span style=""text-decoration: underline;"">Start Configuration</span> button to start setting M2E Pro configuration.","<strong>M2E Pro v. %s wurde erfolgreich installiert.</strong><br/><br/>
    Als Nächstes müssen Sie die wichtigsten Einstellungen wie den Cronjob, die Lizenzierung (die Erweiterung kann nicht ohne gültige Lizenz verwendet werden)
    und andere Einstellungen vornehmen, um die Funktionen der Erweiterung nutzen zu können.<br/>
    In der folgenden Tabelle finden Sie die empfohlenen Servereinstellungen, mit denen die Erweiterung stabil und zuverlässig ausgeführt werden kann. <br/><br/>
    Klicken Sie auf <span style=""text-decoration: underline;"">Konfiguration starten</span>, um mit der Konfiguration von M2E Pro zu beginnen."
eBay Motors,eBay Motors
Feedbacks Synchronization,Bewertungen synchronisieren
"Task ""3rd Party Listings Synchronization"" for eBay account: ""%s"" is in data processing state. Please wait...",Die Aufgabe „Angebote von Drittanbietern synchronisieren“ für eBay-Mitgliedskonto „%s“ befindet sich im Status Datenverarbeitung. Bitte warten Sie...
"Task ""Update Listings Products"" for eBay account: ""%s"" is in data processing state. Please wait...",Die Aufgabe „Produkte in Angeboten aktualisieren“ für eBay-Mitgliedskonto „%s“ befindet sich im Status Datenverarbeitung. Bitte warten Sie...
"Task ""Update 3rd Party Listings"" for eBay account: ""%s"" is in data processing state. Please wait...",Die Aufgabe „Angebote von Drittanbietern aktualisieren“ für eBay-Mitgliedskonto „%s“ befindet sich im Status Datenverarbeitung. Bitte warten Sie...
"Payment Status was updated to Paid on eBay. As Magento Order #%order_id% can have wrong data, it have to be cancelled.","Der Zahlungsstatus wurde bei eBay auf „Bezahlt“ aktualisiert. Die Magento-Bestellnr. %order_id% wurde storniert, da sie möglicherweise inkorrekte Daten enthält."
"Task ""Orders Cancellation Synchronization"" for eBay account: ""%s"" is in data processing state. Please wait...",Die Aufgabe „Bestellungsstornierung synchronisieren“ für eBay-Mitgliedskonto „%s“ befindet sich im Status Datenverarbeitung. Bitte warten Sie...
"Attention! Last eBay AUTOMATIC synchronization was performed by cron more than %s hours ago. You should set up cron job, otherwise no automatic synchronization will be performed. <br/>You can check this %sarticle%s to get how to set cron job. The command for cron job for your server environment can be found %shere%s.",Wichtiger Hinweis! Die letzte automatische Synchronisierung mit eBay wurde von cron vor mehr als %s Stunden durchgeführt. Sie sollten einen Cronjob einrichten. Andernfalls wird keine automatische Synchronisierung durchgeführt. <br/>Weitere Informationen zum Thema Einrichten von Cronjobs finden Sie in diesem %Artikel%. Den Befehl für Cronjobs für Ihre Serverumgebung finden Sie %hier%.
ID,Artikelnr.
Text,Text
Creation Date,Erstellungsdatum
Update Date,Aktualisierungsdatum
Edit,Bearbeiten
Delete,Löschen
Add Template,Vorlage hinzufügen
Cancel,Abbrechen
Save,Speichern
Get Token,Token abrufen
Synchronization Settings,Synchronisierungseinstellungen
Refresh,Aktualisieren
Hide,Ausblenden
Configuration,Konfiguration
General,Allgemeines
3rd Party Listings,Angebote von Drittanbietern
eBay Store,eBay Shop
Orders,Bestellungen
Feedbacks,Bewertungen
Edit%s Account,%s-Mitgliedskonto bearbeiten
Add%s Account,%s-Mitgliedskonto hinzufügen
Save And Continue Edit,Speichern und weiter bearbeiten
Add New Account,Neues Mitgliedskonto hinzufügen
Complete This Step,Diesen Schritt abschließen
Save And Proceed Next,Speichern und fortfahren
Back,Zurück
Send,Senden
Transaction ID,Transaktionsnummer
Item ID,Artikelnummer
Item Title,Artikelbezeichnung
Buyer Feedback Date,Datum der Käuferbewertung
Seller Feedback Date,Datum der Verkäuferbewertung
Type,Typ
Neutral,Neutral
Positive,Positiv
Negative,Negativ
Unresponded Feedbacks,Unbeantwortete Bewertungen
Responded Feedbacks,Beantwortete Bewertungen
No ID For Auction,Keine ID für Auktion vorhanden
N/A,Keine Angabe
Buyer,Käufer
Seller,Verkäufer
Send Response,Antwort senden
eBay Feedbacks,eBay-Bewertungen
Accounts,Konten
Add%s Listing [Settings],%s-Angebot hinzufügen [Einstellungen]
Next,Weiter
Add%s Listing [Select Categories Products],%s-Angebot hinzufügen [Kategorien auswählen]
Save And View Listing,Speichern und Angebot anzeigen
Add%s Listing [Select Categories],%s-Angebot hinzufügen [Kategorien auswählen]
Add%s Listing [Select Products],%s-Angebot hinzufügen [Produkte auswählen]
Add New,Hinzufügen
"Edit ""%s""%s Listing [Settings]",%s-Angebot „%s“ bearbeiten [Einstellungen]
Title,Artikelbezeichnung
Total Items,Gesamtzahl der Artikel
Listed Items,Eingestellte Artikel
Sold Items,Verkaufte Artikel
Inactive Items,Nicht mehr eingestellte Artikel
Actions,Schritte
View Products,Produkte anzeigen
Add Products From Products List,Produkte aus Produktliste hinzufügen
Add Products From Categories,Produkte aus Kategorien hinzufügen
Edit Settings,Einstellungen bearbeiten
Delete Listing,Angebot löschen
Are you sure?,Sind Sie sicher?
View Log,Protokoll anzeigen
Clear Log,Protokoll löschen
Edit Selling Format Template,Angebotsformatvorlage bearbeiten
Edit Description Template,Beschreibungsvorlage bearbeiten
Edit General Template,Allgemeine Vorlage bearbeiten
Edit Synchronization Template,Synchronisierungsvorlage bearbeiten
Clear Log(s),Protokoll(e) löschen
Delete Listing(s),Angebot(e) löschen
Product ID,Produkt-ID
Product Title / SKU,Produktbezeichnung/Bestandseinheit
eBay Item ID,eBay-Artikelnummer
eBay Available QTY,Verfügbare Stückzahl bei eBay
eBay Sold QTY,Verkaufte Stückzahl bei eBay
eBay Price,Preis bei eBay
Status,Status
Listed,Eingestellt
Sold,Verkauft
Stopped,Angehalten
Finished,Fertig
Start Date,Startdatum
End Date,Angebotsende
Unmap,Zuordnung aufheben
Revise Item(s),Artikel überarbeiten
Relist Item(s),Artikel wiedereinstellen
Stop Item(s),Artikel anhalten
Map Item(s) Automatically,Artikel automatisch zuordnen
Move Item(s) to Listing,Artikel in Angebot verschieben
Map,Zuordnung
Move,Verschieben
SKU,Bestandseinheit
Last action was completed successfully.,Letzte Aktion wurde erfolgreich abgeschlossen.
Last action was completed with error(s).,Letzte Aktion wurde mit Fehler(n) abgeschlossen.
Last action was completed with warning(s).,Letzte Aktion wurde mit Warnung(en) abgeschlossen.
Revise,Überarbeiten
Relist,Wiedereinstellen
Stop,Stopp
Status Change,Statusänderung
Manual,Manuell
Automatic,Automatisch
Source,Quelle
Revise Rules,Regeln für das Überarbeiten
Relist Rules,Regeln für das Wiedereinstellen
Stop Rules,Regeln für das Anhalten
Edit%s 3rd Party Synchronization Settings,Einstellungen für die Synchronisierung von %s-Drittanbietern bearbeiten
Save And Complete This Step,Speichern und diesen Schritt abschließen
"Add Products To%s Listing ""%s"" From Categories",Produkte aus Kategorien zu %sAngebot „%s“ hinzufügen
View Listing,Angebot anzeigen
Save And List,Speichern und einstellen
Product Title,Produktbezeichnung
Stock Availability,Verfügbarkeit
In Stock,Auf Lager
Out of Stock,Nicht mehr vorrätig
Price,Preis
Qty,Stückzahl
Visibility,Visibilität
Websites,Websites
Please select items.,Bitte wählen Sie Artikel aus.
Are you sure create empty listing?,"Sind Sie sicher, dass Sie ein leeres Angebot erstellen möchten?"
"Add Products To%s Listing ""%s"" ",Produkte zu %s-Angebot „%s“ hinzufügen 
Product Title / Listing / SKU,Produktbezeichnung/Angebot/Bestandseinheit
"""Buy It Now"" Price",„Sofort-Kaufen“-Preis
Unknown,Unbekannt
Not Listed,Nicht eingestellt
Manage,Verwalten
Listing,Angebot
Go to listing,Angebot aufrufen
Search%s Listings Items,Artikel von %s-Angeboten suchen
Listings,Angebote
Templates,Vorlagen
Selling Format Templates,Angebotsformatvorlagen
Description Templates,Beschreibungsvorlagen
General Templates,Allgemeine Vorlagen
Synchronization Templates,Synchronisierungsvorlagen
Parts Compatibility Attribute,Attribut „Kompatibilität von Ersatzteilen“
Filled,Ausgefüllt
Empty,Leer
"""Start"" Price",Startpreis
"""Reserve"" Price",Mindestpreis
eBay End Date,Angebotsende bei eBay
List Item(s),Artikel einstellen
Stop on Channel / Remove From Listing,Im Channel anhalten/Aus Angebot entfernen
Move Item(s) to Another Listing,Artikel in anderes Angebot verschieben
Add Compatible Vehicles,Kompatible Fahrzeuge hinzufügen
List,Einstellen
Stop on Channel / Remove from Listing,Im Channel anhalten/Aus Angebot entfernen
View%s Listing,%s-Angebot anzeigen
Edit Templates,Vorlage bearbeiten
Add Products,Produkte hinzufügen
List All Items,Alle Artikel einstellen
Task completed. Please wait ...,Aufgabe abgeschlossen. Bitte warten Sie...
"""%s"" task has successfully completed.",Die Aufgabe „%s“ wurde erfolgreich abgeschlossen.
"""%s"" task has completed with warnings. <a href=""%s"">View log</a> for details.","Die Aufgabe „%s“ wurde mit Warnungen abgeschlossen. Weitere Details im <a href=""%s"">Protokoll anzeigen</a>."
"""%s"" task has completed with errors. <a href=""%s"">View log</a> for details.","Die Aufgabe „%s“ wurde mit Fehlern abgeschlossen. Weitere Details im <a href=""%s"">Protokoll anzeigen</a>."
Sending %s product(s) data on eBay.,Daten zu %s-Produkt(en) bei eBay senden.
View All Product Log.,Alle Produktprotokolle anzeigen.
The listing was locked by another process. Please try again later.,Das Angebot wurde durch einen anderen Vorgang blockiert. Bitte versuchen Sie es später noch einmal.
Listing is empty.,Das Angebot ist leer.
Listing All Items On eBay,Alle Artikel bei eBay einstellen
Listing Selected Items On eBay,Ausgewählte Artikel bei eBay einstellen
Revising Selected Items On eBay,Ausgewählte Artikel bei eBay überarbeiten
Relisting Selected Items On eBay,Ausgewählte Artikel bei eBay wiedereinstellen
Stopping Selected Items On eBay,Ausgewählte Artikel bei eBay anhalten
Stopping On eBay And Removing From Listing Selected Items,Bei eBay anhalten und ausgewählte Artikel aus dem Angebot entfernen
Please select action.,Bitte wählen Sie eine Aktion.
Success,Erfolg
Notice,Hinweis
Warning,Hinweis
Error,Fehler
Close,Schließen
Product(s) was successfully moved.,Produkte wurden verschoben.
"Product(s) was not moved. <a href=""%s"">View log</a> for details.","Produkte wurden nicht verschoben. Weitere Details im <a href=""%s"">Protokoll anzeigen</a>."
"Some product(s) was not moved. <a href=""%s"">View log</a> for details.","Einige Produkte wurden nicht verschoben. Weitere Details im <a href=""%s"">Protokoll anzeigen</a>."
Moving eBay Items.,eBay-Artikel verschieben.
Products failed to move,Verschieben von Produkten fehlgeschlagen
Selling Format Template,Angebotsformatvorlage
Description Template,Beschreibungsvorlage
General Template,Allgemeine Vorlage
Synchronization Template,Synchronisierungsvorlage
From Products List,Aus Produktliste
From Categories,Aus Kategorien
Search Items,Nach Artikeln suchen
Add Listing,Angebot hinzufügen
Selling Format,Angebotsformat
Description,Beschreibung
Synchronization,Synchronisierung
Update Now,Jetzt aktualisieren
My Messages,Nachrichten
Sender,Absender
Message,Nachricht
Sender Message Date,Datum der Nachricht
My Responses,Meine Antworten
Unanswered Messages,Unbeantwortete Nachrichten
Answered Messages,Beantwortete Nachrichten
Read More,Mehr zum Thema
Response,Antwort
ePID,ePID
Car / Truck,Pkw/Lkw
Motorcycle,Motorrad
Make,Marke
Model,Modell
Submodel,Untermodell
Year,Jahr
Trim,Ausführung
Engine,Motor
