About,Acerca de
Task completed. Please wait ...,"Tarea finalizada. Por favor, espera..."
"""%s"" task has successfully completed.","La tarea ""%s"" ha finalizado correctamente."
"""%s"" task has completed with warnings. <a href=""%s"">View log</a> for details.","La tarea ""%s"" se ha completado con advertencias. <a href=""%s"">Consulta el registro</a> para más información."
"""%s"" task has completed with errors. <a href=""%s"">View log</a> for details.","La tarea ""%s"" se ha completado con errores. <a href=""%s"">Consulta el registro</a> para más información."
Sending %s product(s) data on eBay.,Enviando datos de %s producto(s) de eBay.
View All Product Log.,Ver todo el registro de productos.
The listing was locked by another process. Please try again later.,Otro proceso ha bloqueado el anuncio. Inténtalo de nuevo más tarde.
Listing is empty.,El anuncio está vacío.
Listing All Items On eBay,Poniendo en venta todos los artículos en eBay
Listing Selected Items On eBay,Poniendo en venta los artículos seleccionados en eBay
Revising Selected Items On eBay,Revisando los artículos seleccionados en eBay
Relisting Selected Items On eBay,Volviendo a poner en venta los artículos seleccionados en eBay
Stopping Selected Items On eBay,Deteniendo los artículos seleccionados en eBay
Stopping On eBay And Removing From Listing Selected Items,Deteniendo en eBay y retirando del anuncio los artículos seleccionados
Please select action.,Selecciona una acción.
Success,Finalizado
Notice,Aviso
Warning,Advertencia
Error,Error
Close,Cerrar
Product(s) was successfully moved.,Los productos se han movido correctamente.
"Product(s) was not moved. <a href=""%s"">View log</a> for details.","Los productos no se han movido. <a href=""%s"">Consulta el registro</a> para más información."
"Some product(s) was not moved. <a href=""%s"">View log</a> for details.","Algunos productos no se han movido. <a href=""%s"">Consulta el registro</a> para más información."
Moving eBay Items.,Moviendo los artículos de eBay.
Products failed to move,No se han podido mover los artículos
Selling Format Template,Plantilla de formato de venta
Description Template,Plantilla de descripción
General Template,Plantilla general
Synchronization Template,Plantilla de sincronización
From Products List,De la lista de productos
From Categories,De las categorías
Search Items,Buscar artículos
Add Listing,Añadir anuncio
Selling Format,Formato de la venta
Description,Descripción
Synchronization,Sincronización
Update Now,Actualizar ahora
My Messages,Mis mensajes
Sender,Mensaje
Message,del remitente
Sender Message Date,Fecha del mensaje del remitente
My Responses,Mis respuestas
Unanswered Messages,Mensajes no contestados
Answered Messages,Mensajes contestados
Read More,Más información
Response,Respuesta
ePID,Identificador de producto de eBay
Car / Truck,Coche/camión
Motorcycle,Moto
Make,Fabricante
Model,Modelo
Submodel,Submodelo
Year,Año
Trim,Elegancia
Engine,Motor
Change Compatibility Attribute,Cambiar atributo de compatibilidad
Overwrite ePIDs in Compatibility Attribute,Sobrescribir identificadores de producto de eBay en el atributo de compatibilidad
Add ePIDs to Compatibility Attribute,Añadir identificadores de producto de eBay al atributo de compatibilidad
Show ePIDs,Mostrar identificadores de producto de eBay
Edit Shipping Address,Modificar dirección de envío
Save Order Address,Guardar dirección de pedido
Sale Date,Fecha de venta
Magento Order #,Número de pedido de Magento
eBay Order #,Número de pedido de eBay
Items,Artículos
Total Paid,Total pagado
Checkout,Pago y envío
No,No
Yes,Sí
Paid,Pagado
Shipped,Enviado
Action,Acción
View,Ver
Create Order,Crear pedido
Mark As Paid,Marcar como pagado
Mark As Shipped,Marcar como enviado
Mark Order(s) as Shipped,Marcar los pedidos como enviados
Mark Order(s) as Paid,Marcar los pedidos como pagados
Deleted,Eliminado
Last order action was completed successfully.,La última acción de pedido se ha completado correctamente.
Last order action was completed with error(s).,La última acción de pedido se ha completado con errores.
Last order action was completed with warning(s).,La última acción de pedido se ha completado con advertencias.
Options,Opciones
QTY,Cantidad
Transaction,Transacción
Item,Artículo
Transaction #,Transacción nº
Fee,Tarifa
Amount,Importe
Date,Fecha
Incl. Tax,Con Impuesto
Excl. Tax,Sin Impuesto
Product,Producto
Original Price,Precio original
Tax Percent,Tipo impositivo
Row Total,Total de fila
View on eBay,Ver en eBay
Create Date,Fecha de creación
View Order Details,Ver datos del pedido
Mark as Shipped,Marcar como enviado
Mark as Paid,Marcar como pagado
Are you sure that you want to create new Magento Order?,¿Estás seguro de que quieres crear un pedido de Magento nuevo?
Run Now,Ejecutar ahora
Insert,Insertar
Select All,Seleccionar todo
Confirm,Confirmar
Show / Hide Editor,Mostrar/ocultar editor
Edit%s Description Template,Modificar%s plantilla de descripción
Add%s Description Template,Añadir%s plantilla de descripción
Duplicate,Duplicar
Preview,Vista previa
View Random Product,Ver producto aleatorio
Change Category,Cambiar categoría
Reset Category,Restablecer categoría
Refresh Store Categories,Actualizar las categorías de la tienda
Add Method,Añadir forma
Remove,Eliminar
Refresh Profiles,Actualizar perfiles
Add Custom Specific,Añadir característica personalizada
Item Specifics,Características del artículo
Listing Upgrades,Opciones de mejora de anuncio
Shipping,Envío
Payment,Pago
Return Policy,Política de devoluciones
Edit%s General Template,Modificar%s plantilla general
Add%s General Template,Añadir%s plantilla general
Edit%s Selling Format Template,Modificar%s plantilla de formato de venta
Add%s Selling Format Template,Añadir%s plantilla de formato de venta
Edit%s Synchronization Template,Modificar%s plantilla de sincronización
Add%s Synchronization Template,Añadir%s plantilla de sincronización
Proceed,Continuar
Skip,Omitir
Complete Configuration,Finalizar configuración
Start Configuration,Iniciar configuración
Re-import,Volver a importar
"No, thanks","No, gracias"
eBay DateTime object is null,El objeto DateTime de eBay es nulo
"Listing ""%listingId%"" locked by other process.","El anuncio ""%listingId%"" está bloqueado por otro proceso."
Relisting,Volviendo a poner en venta
Revising,Revisando
Stopping,Deteniendo
Item is listed or not available,El artículo ya está en venta o no está disponible
Item was successfully listed,El artículo se ha puesto en venta correctamente
Multiple Item Connector has received empty array,El conector de varios artículos ha recibido una matriz vacía
Multiple Item Connector has received invalid product data type,El conector de varios artículos ha recibido un tipo de datos de producto no válido
Multiple Item Connector has received products from different listings,El conector de varios artículos ha recibido productos de anuncios distintos
"The item either is listed, or not listed yet or not available","El artículo ya está en venta, todavía no se ha puesto en venta o no está disponible"
Item already was started on eBay,El artículo ya se ha iniciado en eBay
Item was successfully relisted,El artículo se ha vuelto a poner en venta correctamente
Item is not listed or not available,El artículo no está en venta o no está disponible
Variation attributes were changed. Please stop and list product.,Se han cambiado los atributos de variante. Detén el producto y ponlo en venta.
Item was already stopped on eBay,El artículo ya se ha detenido en eBay
Item was successfully revised,El artículo se ha revisado correctamente
variations,variantes
qty,cantidad
price,precio
title,título
subtitle,subtítulo
description,descripción
was successfully revised,se ha revisado correctamente
Item was successfully stopped,El artículo se ha detenido correctamente
eBay Order status was not updated. Reason: %msg%,El estado del pedido de eBay no se ha actualizado. Motivo: %msg%
Status of India site orders cannot be updated if the buyer uses PaisaPay payment method.,El estado de los pedidos del sitio de la India no se puede actualizar si el comprador usa la forma de pago PaisaPay.
Invalid action.,Esta acción no es válida.
Payment status for eBay order was not updated. Reason: eBay Failure.,El estado de pago del pedido de eBay no se ha actualizado. Motivo: error de eBay.
Payment status for eBay order was updated to Paid.,El estado de pago del pedido de eBay se ha actualizado a Pagado.
Shipping status for eBay order was not updated. Reason: eBay Failure.,El estado de envío del pedido de eBay no se ha actualizado. Motivo: error de eBay.
"Tracking number ""%num%"" for ""%code%"" has been sent to eBay.","El número de seguimiento ""%num%"" de ""%code%"" se ha enviado a eBay."
Shipping status for eBay order was updated to Shipped.,El estado de envío del pedido de eBay se ha actualizado a Enviado.
Dispute cannot be opened. Reason: Dispute explanation is not defined.,No se puede abrir la disputa. Motivo: no se ha definido la explicación de la disputa.
Dispute cannot be opened. Reason: Dispute reason is not defined.,No se puede abrir la disputa. Motivo: el motivo de la disputa no está definido.
Unpaid Item Process was not open for item #%id%. Reason: %msg%,No se ha abierto el proceso para el impago del artículo número %id%. Motivo: %msg%
Unpaid Item Process was not open for item #%id%. Reason: eBay failure. Please try again later.,No se ha abierto el proceso para el impago del artículo número %id%. Motivo: error de eBay. Inténtalo de nuevo más tarde.
Unpaid Item Process for item #%id% has been initiated.,Se ha iniciado el proceso para el impago del artículo número %id%.
"Action was not completed (Item: %item_id%, Transaction: %trn_id%). Reason: %msg%","La acción no ha finalizado (artículo: %item_id%, transacción: %trn_id%). Motivo: %msg%"
"Shipping status was not updated (Item: %item_id%, Transaction: %trn_id%). Reason: %msg%","El estado de envío no se ha actualizado (artículo: %item_id%, transacción: %trn_id%). Motivo: %msg%"
"Shipping status was not updated (Item: %item_id%, Transaction: %trn_id%). Reason: eBay Failure.","El estado de envío no se ha actualizado (artículo: %item_id%, transacción: %trn_id%). Motivo: error de eBay."
"Tracking number ""%num%"" for ""%code%"" has been sent to eBay (Item: %item_id%, Transaction: %trn_id%).","El número de seguimiento ""%num%"" de ""%code%"" se ha enviado a eBay (artículo: %item_id%, transacción: %trn_id%)."
"Order item has been marked as shipped (Item: %item_id%, Transaction: %trn_id%).","El artículo de pedido se ha marcado como enviado (artículo: %item_id%, transacción: %trn_id%)."
Other listings locked by other process.,Otros anuncios bloqueados por otro proceso.
The item either is listed or not available,El artículo está puesto en venta o no está disponible
The item either is not listed or not available,El artículo no está puesto en venta o no está disponible
Communication with eBay is started. Please wait...,"Se ha iniciado la comunicación con eBay. Por favor, espera..."
Please wait...,"Por favor, espera..."
product(s) with id(s),producto(s) con identificador(es)
Communication with eBay is finished. Please wait...,"La comunicación con eBay ha finalizado. Por favor, espera..."
"Item status was successfully changed to ""Listed"".","El estado del artículo se ha cambiado correctamente a ""Puesto en venta""."
"Item status was successfully changed to ""Sold"".","El estado del artículo se ha cambiado correctamente a ""Vendido""."
"Item status was successfully changed to ""Stopped"".","El estado del artículo se ha cambiado correctamente a ""Detenido""."
"Item status was successfully changed to ""Finished"".","El estado del artículo se ha cambiado correctamente a ""Finalizado""."
Item was successfully added,El artículo se ha añadido correctamente
Method require loaded instance first,El método requiere que primero se cargue la instancia
Invalid listing type in attribute.,Tipo de anuncio no válido en el atributo.
Payment status was updated to Paid on eBay.,El estado de pago se ha actualizado a Pagado en eBay.
Shipping status was updated to Shipped on eBay.,El estado de envío se ha actualizado a Enviado en eBay.
Buyer has changed the shipping address of this order at the time of completing payment on eBay.,El comprador ha cambiado la dirección de envío de este pedido en el momento de realizar el pago en eBay.
Duplicated eBay orders with ID #%id%.,Pedidos de eBay duplicados con el identificador número %id%.
Order Creation Rules were not met. Press Create Order button at Order view page to create it anyway.,No se han cumplido las reglas de creación de pedidos. Pulsa el botón Crear pedido en la página de vista de pedidos para crearlo de todas formas.
Magento Order #%order_id% should be canceled as new combined eBay order #%new_id% was created.,El pedido de Magento número %order_id% se debe cancelar ya que se ha creado el nuevo pedido de eBay combinado número %new_id%.
eBay Order #%old_id% was deleted as new combined order #%new_id% was created.,El pedido de eBay número %old_id% se ha eliminado ya que se ha creado el nuevo pedido combinado número %new_id%.
Unable to create directory '%directory%'.,"No se puede crear el directorio ""%directory%""."
Image %url% was not downloaded.,No se ha descargado la imagen %url%.
Product import is disabled in eBay Account settings.,La importación de productos se ha desactivado en la Configuración de tu cuenta de eBay.
Data obtaining for eBay Item failed. Please try again later.,No se han podido obtener los datos para el artículo de eBay. Inténtalo de nuevo más tarde.
Product for eBay Item #%id% was created in Magento catalog.,El artículo número %id% de eBay se ha creado en el catálogo de Magento.
Magento Order creation for items listed by M2E Pro is disabled in Account settings.,La creación de pedidos de Magento para los artículos puestos a la venta por M2E Pro está desactivada en la Configuración de tu cuenta.
Magento Order creation for items listed by 3rd party software is disabled in Account settings.,La creación de pedidos de Magento para los artículos puestos en venta por software externo está desactivada en la Configuración de tu cuenta.
Product import is disabled in Account settings.,La importación de productos se ha desactivado en la Configuración de tu cuenta.
Not Selected Yet,Todavía no se ha seleccionado
eBay Shipping,Envíos de eBay
Checkout Message From Buyer,Mensaje de Pago y envío del comprador
Customer with ID specified in eBay account settings does not exist.,No existe el cliente con el identificador especificado en la Configuración de tu cuenta de eBay.
Magento Order was canceled.,Se ha cancelado el pedido de Magento.
Magento Order cannot be canceled.,El pedido de Magento no se puede cancelar.
"Task ""Update Listings Products"" is started. Please wait...","Se ha iniciado la tarea ""Actualizar productos de anuncios"". Por favor, espera..."
"Task ""Update Listings Products"" is finished. Please wait...","La tarea ""Actualizar productos de anuncios"" ha finalizado. Por favor, espera..."
"Task ""Update Listings Products"" for eBay account: ""%s"" is started. Please wait...","Se ha iniciado la tarea ""Actualizar productos de anuncios"" de la cuenta de eBay ""%s"". Por favor, espera..."
"Task ""Default Synchronization"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización predeterminada"". Por favor, espera..."
"Task ""Default Synchronization"" is finished. Please wait...","La tarea ""Sincronización predeterminada"" ha finalizado. Por favor, espera..."
"The ""Receive"" action is started. Please wait...","Se ha iniciado la acción ""Recibir"". Por favor, espera..."
"The ""Receive"" action is finished. Please wait...","La acción ""Recibir"" ha finalizado. Por favor, espera..."
"The ""Receive"" action for eBay account: ""%acc%"" is started. Please wait...","Se ha iniciado la acción ""Recibir"" de la cuenta de eBay ""%acc%"". Por favor, espera..."
"The ""Response"" action is started. Please wait...","Se ha iniciado la acción ""Respuesta"". Por favor, espera..."
"The ""Response"" action is finished. Please wait...","La acción ""Respuesta"" ha finalizado. Por favor, espera..."
"Task ""Feedbacks Synchronization"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización de votos"". Por favor, espera..."
"Task ""Feedbacks Synchronization"" is finished. Please wait...","La tarea ""Sincronización de votos"" ha finalizado. Por favor, espera..."
"The ""Categories Synchronization"" action is started. Please wait...","Se ha iniciado la acción ""Sincronización de categorías"". Por favor, espera..."
"The ""Categories Synchronization"" action is finished. Please wait...","La acción ""Sincronización de categorías"" ha finalizado. Por favor, espera..."
"The ""Categories Synchronization"" action for marketplace: ""%s"" is started. Please wait...","Se ha iniciado la acción ""Sincronización de categorías"" del mercado ""%s"". Por favor, espera..."
"The ""Categories Synchronization"" action for marketplace: ""%mrk%"" has been successfully completed.","La acción ""Sincronización de categorías"" del mercado ""%mrk%"" ha finalizado correctamente."
"The ""Receive Details"" action is started. Please wait...","Se ha iniciado la acción ""Recibir detalles"". Por favor, espera..."
"The ""Receive Details"" action is finished. Please wait...","La acción ""Recibir detalles"" ha finalizado. Por favor, espera..."
"The ""Receive Details"" action for marketplace: ""%s"" is started. Please wait...","Se ha iniciado la acción ""Recibir detalles"" del mercado ""%s"". Por favor, espera..."
"The ""Receive Details"" action for marketplace ""%s"" is in data processing mode. Please wait...","La acción ""Recibir detalles"" del mercado ""%s"" se encuentra en estado de procesamiento de datos. Por favor, espera..."
"The ""Receive Details"" action for marketplace: ""%mrk%""  has been successfully completed.","La acción ""Recibir detalles"" del mercado ""%mrk%"" ha finalizado correctamente."
"The ""Receive Parts Compatibility"" action is started. Please wait...","Se ha iniciado la acción ""Recibir compatibilidad de piezas"". Por favor, espera..."
"The ""Receive Parts Compatibility"" action is finished. Please wait...","La acción ""Recibir compatibilidad de piezas"" ha finalizado. Por favor, espera..."
"Task ""Marketplaces Synchronization"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización de mercados"". Por favor, espera..."
"Task ""Marketplaces Synchronization"" is finished. Please wait...","La tarea ""Sincronización de mercados"" ha finalizado. Por favor, espera..."
"Task ""Messages Synchronization"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización de mensajes"". Por favor, espera..."
"Task ""Messages Synchronization"" is finished. Please wait...","La tarea ""Sincronización de mensajes"" ha finalizado. Por favor, espera..."
"Task ""Orders Cancellation Synchronization"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización de cancelación de pedidos"". Por favor, espera..."
"Task ""Orders Cancellation Synchronization"" is finished. Please wait...","La tarea ""Sincronización de cancelación de pedidos"" ha finalizado. Por favor, espera..."
"Task ""Orders Cancellation Synchronization"" for eBay account: ""%s"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización de cancelación de pedidos"" de la cuenta de eBay ""%s"". Por favor, espera..."
Reservation period cannot be less than 1 day.,El período de reserva no puede ser inferior a un día.
"Task ""Orders Synchronization"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización de pedidos"". Por favor, espera..."
"Task ""Orders Synchronization"" is finished. Please wait...","La tarea ""Sincronización de pedidos"" ha finalizado. Por favor, espera..."
"Task ""Orders Synchronization"" for eBay account: ""%s"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización de pedidos"" de la cuenta de eBay ""%s"". Por favor, espera..."
"Task ""Orders Synchronization"" for eBay account: ""%acc%"" is in data processing state. Please wait...","La tarea ""Sincronización de pedidos"" de la cuenta de eBay ""%acc%"" se encuentra en estado de procesamiento de datos. Por favor, espera..."
"Task ""Orders Synchronization"" for eBay account: ""%s"" is in order creation state.. Please wait...","La tarea ""Sincronización de pedidos"" de la cuenta de eBay ""%s"" se encuentra en estado de creación de pedidos. Por favor, espera..."
"The ""Relist"" action is started. Please wait...","Se ha iniciado la acción ""Volver a poner en venta"". Por favor, espera..."
"The ""Relist"" action is finished. Please wait...","La acción ""Volver a poner en venta"" ha finalizado. Por favor, espera..."
"The ""Revise"" action is started. Please wait...","Se ha iniciado la acción ""Revisar"". Por favor, espera..."
"The ""Revise"" action is finished. Please wait...","La acción ""Revisar"" ha finalizado. Por favor, espera..."
"The ""Stop"" action is started. Please wait...","Se ha iniciado la acción ""Detener"". Por favor, espera..."
"The ""Stop"" action is finished. Please wait...","La acción ""Detener"" ha finalizado. Por favor, espera..."
"Task ""Update 3rd Party Listings"" has completed with errors. View %sl%listings log%el% for details.","La tarea ""Actualizar anuncios externos"" ha finalizado con errores. Consulta el %sl%registro de anuncios%el% para más información."
"Task ""Update 3rd Party Listings"" has completed with warnings. View %sl%listings log%el% for details.","La tarea ""Actualizar anuncios externos"" ha finalizado con advertencias. Consulta el %sl%registro de anuncios%el% para más información."
"The ""Update 3rd Party Listings"" action is started. Please wait...","Se ha iniciado la tarea ""Actualizar anuncios externos"". Por favor, espera..."
"The ""Update 3rd Party Listings"" action is finished. Please wait...","La tarea ""Actualizar anuncios externos"" ha finalizado. Por favor, espera..."
"Task ""3rd Party Listings Synchronization"" for eBay account: ""%s"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización de anuncios externos"" de la cuenta de eBay ""%s"". Por favor, espera..."
"Task ""3rd Party Listings Synchronization"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización de anuncios externos"". Por favor, espera..."
"Task ""3rd Party Listings Synchronization"" is finished. Please wait...","La tarea ""Sincronización de anuncios externos"" ha finalizado. Por favor, espera..."
"The ""Final"" action is started. Please wait...","Se ha iniciado la acción ""Final"". Por favor, espera..."
"The ""Final"" action is finished. Please wait...","La acción ""Final"" ha finalizado. Por favor, espera..."
"The ""Initial"" action is started. Please wait...","Se ha iniciado la acción ""Inicial"". Por favor, espera..."
"The ""Initial"" action is finished. Please wait...","La acción ""Inicial"" ha finalizado. Por favor, espera..."
"Task ""Templates Synchronization"" has completed with errors. View %sl%listings log%el% for details.","La tarea ""Sincronización de plantillas"" ha finalizado con errores. Consulta el %sl%registro de anuncios%el% para más información."
"Task ""Templates Synchronization"" has completed with warnings. View %sl%listings log%el% for details.","La tarea ""Sincronización de plantillas"" ha finalizado con advertencias. Consulta el %sl%registro de anuncios%el% para más información."
"Task ""Templates Synchronization"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización de plantillas"". Por favor, espera..."
"Task ""Templates Synchronization"" is finished. Please wait...","La tarea ""Sincronización de plantillas"" ha finalizado. Por favor, espera..."
Unknown product details name,Nombre de detalles de producto desconocido
product(s),productos(s)
M2E Pro,M2E Pro
eBay Accounts,Cuentas de eBay
Account does not exist.,La cuenta no existe.
The eBay token obtaining is currently unavailable.<br />Reason: %s,No está disponible en este momento la obtención del código de eBay.<br />Motivo: %s
Account was successfully saved,La cuenta se ha guardado correctamente
Account is not added or updated. Try again later.,La cuenta no se ha añadido ni actualizado. Inténtalo de nuevo más tarde.
Communication,Comunicación
Feedback is not defined.,No se ha definido el voto.
Requested order was not found.,No se ha encontrado el pedido solicitado.
Item's Marketplace is Unknown.,El mercado del artículo es desconocido.
Manage Listings,Gestionar anuncios
eBay Listings,Anuncios de eBay
Requested eBay Item ID is not found.,No se ha encontrado el número de artículo de eBay solicitado.
Listing was successfully added,El anuncio se ha añadido correctamente
Listing was successfully added.,El anuncio se ha añadido correctamente.
Listing does not exist.,El anuncio no existe.
The listing is locked by another process. Please try again later.,El anuncio está bloqueado por otro proceso. Inténtalo de nuevo más tarde.
The listing was successfully saved.,El anuncio se ha guardado correctamente.
Please select item(s) to remove,Selecciona los artículos que quieres eliminar
%s listing(s) were successfully deleted,%s anuncios se han eliminado correctamente
%s listing(s) have listed items and can not be deleted,%s anuncios tienen artículos en venta y no se pueden eliminar
Listing does not exist..,El anuncio no existe.
The products were added to listing.,Los productos se han añadido al anuncio.
Item was not moved,El artículo no se ha movido
Item was successfully moved,El artículo se ha movido correctamente
Required parameters were not selected,No se han seleccionado los parámetros obligatorios
ePIDs were saved in Compatibility Attribute.,Los identificadores de producto de eBay se han guardado en el atributo de compatibilidad.
Id required.,Identificador obligatorio.
Product does not exist.,El producto no existe.
The item has not mapped product.,El artículo no tiene un producto asignado.
Product was successfully unmapped.,El producto se ha desasignado correctamente.
Product already exists in M2E listing(s).,El producto ya existe en los anuncios de M2E.
Synchronization settings was successfully saved.,La configuración de sincronización se ha guardado correctamente.
Activity Logs,Registros de actividad
Sales,Ventas
eBay Orders,Pedidos de eBay
Order address has been updated.,Se ha actualizado la dirección del pedido.
Please select order(s).,Selecciona los pedidos.
Payment status for selected eBay Order(s) was updated to Paid.,El estado de pago de los pedidos de eBay seleccionados se ha actualizado a Pagado.
Payment status for selected eBay Order(s) was not updated.,El estado de pago de los pedidos de eBay seleccionados no se ha actualizado.
Shipping status for selected eBay Order(s) was updated to Shipped.,El estado de envío de los pedidos de eBay seleccionados se ha actualizado a Enviado.
Shipping status for selected eBay Order(s) was not updated.,El estado de envío de los pedidos de eBay seleccionados no se ha actualizado.
Magento Order was created.,Se ha creado el pedido de Magento.
Invoice was created.,Se ha creado la factura.
Shipment was created.,Se ha creado el envío.
Transaction ID should be defined.,Se debe definir el identificador de la transacción.
eBay order transaction does not exist.,La transacción del pedido de eBay no existe.
This is not a PayPal transaction.,No es una transacción de PayPal.
Template does not exist,La plantilla no existe
Template was successfully saved,La plantilla se ha guardado correctamente
"There are no any products for ""%s"" attribute set(s).","No hay productos para los conjuntos de atributos ""%s""."
Product #%s does not exist,El producto número %s no existe
"Product #%s does not belong to ""%s"" attribute set(s).","El producto número %s no pertenece a los conjuntos de atributos ""%s""."
"Please select and update eBay <a href=""%s"" target=""_blank"">marketplaces</a> before adding new General Templates.","Selecciona y actualiza los <a href=""%s"" target=""_blank"">mercados</a> de eBay antes de añadir nuevas plantillas generales."
"Please add eBay <a href=""%s"" target=""_blank"">accounts</a> before adding new General Templates.","Añade las <a href=""%s"" target=""_blank"">cuentas</a> de eBay antes de añadir nuevas plantillas generales."
Template does not exist.,La plantilla no existe.
Category with ID: %s is not found.,No se ha encontrado la categoría con el identificador %s.
Ensure that you entered correct ID.,Asegúrate de haber introducido el identificador correcto.
Category with ID: %s is non leaf and cannot be used.,La categoría con el identificador %s no es secundaria y no se puede usar.
"
This tab contains settings of receiving, saving buyers' feedbacks and sending seller's Auto Responses to received feedbacks.<br/><br/>
<b>Note:</b> To allow receiving feedbacks from eBay, Feedbacks Synchronization should be enabled in %s > Configuration > Synchronization.","
Esta pestaña contiene la configuración para recibir y guardar votos de los compradores y enviar una respuesta automática del vendedor a los votos recibidos.<br/><br/>
<b>Nota</b>: para permitir la recepción de votos de eBay, debe activarse la opción Sincronización de votos en %s > Configuración > Sincronización."
You should create at least one response template.,Debes crear al menos una plantilla de respuesta.
Buyers Feedbacks,Votos de los compradores
Import Feedbacks,Importar votos
Allows importing customers' feedbacks from eBay.,Permite la importación de los votos de los clientes desde eBay.
Seller Responses,Respuestas del vendedor
Auto Response,Respuesta automática
"The auto response to buyers' feedbacks can operate in two modes:
                <ul class=""list"">
                    <li><b>Cycle Mode</b> - the system chooses existing response template according to the order and sends it out.</li>
                    <li><b>Random Mode</b> - the system randomly chooses existing response template and sends it out.</li>
                </ul>","La respuesta automática a los votos de los compradores puede funcionar de dos formas:
                <ul class=""list"">
                    <li><b>Modo cíclico</b>: el sistema elige una plantilla de respuesta existente según el pedido y la envía.</li>
                    <li><b>Modo aleatorio</b>: el sistema elige aleatoriamente una plantilla de respuesta existente y la envía.</li>
                </ul>"
Disabled,Desactivado
Cycle Mode,Modo cíclico
Random Mode,Modo aleatorio
Choose Disabled if you do not want to send automatic responses.,Elige Desactivado si no quieres enviar respuestas automáticas.
Send to,Enviar a
All,Todo
Which feedbacks auto responses should be sent to: all or positive only.,Se especifican los votos a los que se debe enviar una respuesta automática: todos o solo positivos.
Response Templates,Plantillas de respuesta
Add Response Template,Añadir plantilla de respuesta
Edit Response Template,Modificar plantilla de respuesta
Should be between 2 and 80 characters long.,Debe tener una longitud de entre 2 y 80 caracteres.
Please enter correct number of characters.,Introduce el número correcto de caracteres.
"There is a possibility of adding eBay account in Production (Live eBay) or Sandbox (Test eBay) mode.<br/><br/>
    <b>Note:</b> You cannot use your Production eBay account for the Sandbox environment and vice versa. To register the Sandbox account go to <a href=""http://www.developer.ebay.com"" target=""_blank"">www.developer.ebay.com</a><br/>
    <br/>After completing the required information in General block, press the <span style=""text-decoration: underline;"">Get Token</span> button. You will be redirected to the eBay website. Sign-in and press <i>I Agree</i> to allow your eBay account connect to the M2E Pro.
    <br/><br/>If Token has been successfully accepted, Activated status will turn to <i>Yes</i>. Do NOT leave the tab yet. Press <span style=""text-decoration: underline;"">Save And Continue Edit</span>.
    <br/>After saving you will see the 3rd Party Listings block and additional setting tabs under Configuration in the left side menu. <br/>","Existe la posibilidad de añadir una cuenta de eBay en modo de producción (eBay activo) o Sandbox (eBay de prueba).<br/><br/>
    <b>Nota</b>: no puedes usar tu cuenta de eBay de producción para el entorno de Sandbox y viceversa. Para registrar la cuenta en modo Sandbox, ve a <a href=""http://www.developer.ebay.com"" target=""_blank"">www.developer.ebay.com</a>.<br/>
    <br/>Después de rellenar la información obligatoria en el bloque General, pulsa el botón <span style=""text-decoration: underline;"">Get Token</span>. Accederás al sitio Web de eBay. Identifícate y pulsa <i>Acepto</i> para permitir que tu cuenta de eBay se conecte a M2E Pro.
    <br/><br/>Si el código se ha aceptado correctamente, el estado Activado cambiará a <i>Sí</i>. No salgas de esta pestaña todavía. Pulsa <span style=""text-decoration: underline;"">Guardar y continuar modificación</span>.
    <br/>Después de guardar, aparecerá el bloque Anuncios externos y varias pestañas de configuración adicionales en Configuración, en el menú lateral izquierdo. <br/>"
Be attentive! By deleting account you delete all information on it from M2E Pro server. This will cause inappropriate work of all accounts' copies.,"Ten cuidado. Al eliminar la cuenta, eliminas toda la información que contiene del servidor M2E Pro. Esto provocará un funcionamiento inadecuado en las copias de todas las cuentas."
The specified title is already used for other account. Account title must be unique.,El título especificado ya se está usando en otra cuenta. El título de la cuenta debe ser único.
You must get token.,Debes obtener el token.
Title or identifier of eBay account for your internal use.,Título o identificador de la cuenta de eBay para uso interno.
Mode,Modo
Production (Live eBay),Producción (eBay activo)
Sandbox (Test eBay),Sandbox (eBay de prueba)
Environment of eBay account.,Entorno de la cuenta de eBay.
Token,Código
Grant Access,Conceder acceso
"The  operation of getting token is limited to 5 minutes by eBay. If you exceed it, you should start getting token again.","eBay limita el proceso de obtención del código a cinco minutos. Si los superas, deberás empezar de nuevo el proceso de obtención del código."
Activated,Activada
Expiration Date,Fecha de vencimiento
My Messages Import,Importación de mis mensajes
